发文时间,发帖数量,情感类别,主题数量,转发,点赞,评论,熵值
2022-04-04,19,"{'pos': 14, 'neg': 4, 'neu': 1}","{'Topic_4': 7, 'Topic_1': 3, 'Topic_5': 3, 'Topic_2': 2, 'Topic_3': 2, 'Topic_0': 2}",67.0,1414.0,487.0,3.209440373728515
2022-04-05,19,"{'pos': 10, 'neu': 6, 'neg': 3}","{'Topic_1': 6, 'Topic_4': 4, 'Topic_0': 3, 'Topic_3': 3, 'Topic_2': 2, 'Topic_5': 1}",121.0,2880.0,411.0,2.5532750497569254
2022-04-06,30,"{'pos': 20, 'neg': 6, 'neu': 4}","{'Topic_1': 7, 'Topic_5': 7, 'Topic_0': 6, 'Topic_4': 5, 'Topic_2': 4, 'Topic_3': 1}",33.0,2086.0,515.0,2.9757222417322624
2022-04-07,48,"{'pos': 31, 'neg': 10, 'neu': 7}","{'Topic_2': 14, 'Topic_4': 11, 'Topic_0': 8, 'Topic_1': 5, 'Topic_5': 5, 'Topic_3': 5}",146.0,3422.0,1202.0,3.1010276746106675
2022-04-08,30,"{'pos': 16, 'neu': 9, 'neg': 5}","{'Topic_1': 7, 'Topic_4': 7, 'Topic_2': 6, 'Topic_5': 5, 'Topic_0': 4, 'Topic_3': 1}",7165.0,56322.0,19578.0,2.627958845410516
2022-04-09,18,"{'pos': 11, 'neg': 4, 'neu': 3}","{'Topic_1': 6, 'Topic_4': 6, 'Topic_0': 2, 'Topic_5': 2, 'Topic_3': 2}",29.0,1426.0,304.0,2.8638857707946137
2022-04-10,16,"{'pos': 8, 'neu': 6, 'neg': 2}","{'Topic_2': 7, 'Topic_4': 4, 'Topic_0': 2, 'Topic_5': 2, 'Topic_1': 1}",10.0,901.0,194.0,2.756490497530117
2022-04-11,29,"{'pos': 18, 'neg': 6, 'neu': 5}","{'Topic_0': 9, 'Topic_1': 8, 'Topic_4': 5, 'Topic_3': 3, 'Topic_5': 2, 'Topic_2': 2}",60.0,7868.0,1307.0,2.804287007184858
2022-04-12,27,"{'neu': 11, 'pos': 11, 'neg': 5}","{'Topic_2': 12, 'Topic_4': 10, 'Topic_0': 2, 'Topic_1': 2, 'Topic_5': 1}",64.0,2132.0,622.0,2.660678065270867
2022-04-13,23,"{'pos': 14, 'neg': 5, 'neu': 4}","{'Topic_2': 6, 'Topic_4': 6, 'Topic_1': 5, 'Topic_3': 3, 'Topic_5': 2, 'Topic_0': 1}",59.0,2142.0,665.0,2.7544838790155817
2022-04-14,24,"{'pos': 13, 'neu': 6, 'neg': 5}","{'Topic_3': 9, 'Topic_4': 7, 'Topic_1': 4, 'Topic_2': 2, 'Topic_5': 2}",51.0,1821.0,735.0,2.771498772086138
2022-04-15,19,"{'neu': 10, 'pos': 8, 'neg': 1}","{'Topic_4': 7, 'Topic_5': 3, 'Topic_2': 3, 'Topic_0': 3, 'Topic_3': 3}",16.0,883.0,323.0,2.3219982426481054
2022-04-16,11,"{'pos': 6, 'neg': 4, 'neu': 1}","{'Topic_2': 5, 'Topic_4': 3, 'Topic_1': 1, 'Topic_5': 1, 'Topic_0': 1}",14.0,453.0,153.0,3.1772263763535706
2022-04-17,15,"{'pos': 8, 'neu': 5, 'neg': 2}","{'Topic_5': 5, 'Topic_1': 3, 'Topic_2': 3, 'Topic_3': 2, 'Topic_4': 1, 'Topic_0': 1}",46.0,2092.0,435.0,2.6998416036774557
2022-04-18,18,"{'pos': 14, 'neg': 2, 'neu': 2}","{'Topic_3': 6, 'Topic_4': 4, 'Topic_2': 4, 'Topic_0': 2, 'Topic_1': 1, 'Topic_5': 1}",19.0,734.0,300.0,2.814010845564367
2022-04-19,19,"{'pos': 9, 'neu': 5, 'neg': 5}","{'Topic_4': 6, 'Topic_5': 6, 'Topic_1': 3, 'Topic_0': 3, 'Topic_2': 1}",113.0,3825.0,2709.0,2.828038556063802
2022-04-20,21,"{'pos': 10, 'neu': 9, 'neg': 2}","{'Topic_1': 6, 'Topic_4': 5, 'Topic_3': 4, 'Topic_5': 3, 'Topic_0': 2, 'Topic_2': 1}",37.0,1858.0,364.0,2.7066198760809805
2022-04-21,28,"{'pos': 16, 'neu': 7, 'neg': 5}","{'Topic_2': 7, 'Topic_4': 7, 'Topic_0': 6, 'Topic_5': 5, 'Topic_1': 2, 'Topic_3': 1}",85.0,2122.0,744.0,2.9222495661180194
2022-04-22,32,"{'pos': 21, 'neu': 6, 'neg': 5}","{'Topic_4': 11, 'Topic_2': 9, 'Topic_3': 4, 'Topic_1': 4, 'Topic_5': 2, 'Topic_0': 2}",65.0,2586.0,659.0,2.632606463947749
2022-04-23,13,"{'pos': 9, 'neg': 3, 'neu': 1}","{'Topic_2': 6, 'Topic_5': 3, 'Topic_4': 2, 'Topic_0': 1, 'Topic_3': 1}",15.0,1122.0,350.0,2.9711037329274896
2022-04-24,16,"{'pos': 8, 'neu': 7, 'neg': 1}","{'Topic_5': 4, 'Topic_3': 4, 'Topic_0': 3, 'Topic_2': 3, 'Topic_4': 2}",601.0,76691.0,15596.0,2.5094383116843084
2022-04-25,20,"{'pos': 11, 'neu': 6, 'neg': 3}","{'Topic_1': 7, 'Topic_4': 3, 'Topic_2': 3, 'Topic_3': 3, 'Topic_0': 2, 'Topic_5': 2}",64.0,26873.0,3617.0,3.321968387706459
2022-04-26,17,"{'pos': 8, 'neu': 5, 'neg': 4}","{'Topic_2': 4, 'Topic_1': 4, 'Topic_0': 3, 'Topic_3': 3, 'Topic_5': 2, 'Topic_4': 1}",30.0,502.0,153.0,2.962932768858624
2022-04-27,26,"{'pos': 21, 'neu': 4, 'neg': 1}","{'Topic_3': 6, 'Topic_1': 5, 'Topic_0': 4, 'Topic_2': 4, 'Topic_4': 4, 'Topic_5': 3}",30.0,2144.0,415.0,3.1892752864088183
2022-04-28,13,"{'pos': 9, 'neu': 3, 'neg': 1}","{'Topic_3': 5, 'Topic_4': 3, 'Topic_2': 3, 'Topic_1': 2}",134.0,983.0,759.0,2.5924839988107755
2022-04-29,30,"{'pos': 17, 'neg': 8, 'neu': 5}","{'Topic_4': 10, 'Topic_0': 7, 'Topic_2': 6, 'Topic_1': 4, 'Topic_5': 2, 'Topic_3': 1}",83.0,2584.0,1097.0,2.864566254521478
2022-04-30,12,"{'pos': 8, 'neg': 4}","{'Topic_1': 7, 'Topic_3': 3, 'Topic_4': 1, 'Topic_2': 1}",2.0,377.0,67.0,2.677324406796639
2022-05-01,8,"{'neg': 5, 'pos': 3}","{'Topic_1': 2, 'Topic_3': 2, 'Topic_2': 2, 'Topic_0': 1, 'Topic_5': 1}",28.0,2025.0,363.0,2.8479669582869658
2022-05-02,19,"{'pos': 13, 'neu': 4, 'neg': 2}","{'Topic_4': 8, 'Topic_5': 3, 'Topic_2': 3, 'Topic_0': 3, 'Topic_1': 2}",39.0,1033.0,423.0,3.0645382684080875
2022-05-03,20,"{'neu': 10, 'pos': 7, 'neg': 3}","{'Topic_1': 5, 'Topic_4': 4, 'Topic_3': 4, 'Topic_0': 3, 'Topic_5': 2, 'Topic_2': 2}",4509.0,8587.0,3214.0,2.903366180373628
2022-05-04,21,"{'pos': 10, 'neg': 6, 'neu': 5}","{'Topic_0': 6, 'Topic_3': 5, 'Topic_4': 4, 'Topic_5': 2, 'Topic_2': 2, 'Topic_1': 2}",40.0,1774.0,510.0,2.700974673420399
