content,主题概率,主题类型,情感类型,情感得分
amooo essa fruta paixão ,"[(0, 0.033393264), (1, 0.03339301), (2, 0.03339243), (3, 0.03339359), (4, 0.8330335), (5, 0.033394184)]",4,POSITIVE,0.9806555509567261
amount boost credit score ,"[(0, 0.033365924), (1, 0.033365786), (2, 0.03396298), (3, 0.83244604), (4, 0.033492822), (5, 0.03336642)]",3,POSITIVE,0.9989444613456726
amount negativity underneath normal benign news shock ,"[(0, 0.020926215), (1, 0.020995667), (2, 0.020957543), (3, 0.020992655), (4, 0.8951988), (5, 0.020929145)]",4,NEGATIVE,0.9621837735176086
analyze picture empty street portrayed image people pose create click ,"[(0, 0.74365306), (1, 0.195291), (2, 0.015392546), (3, 0.015245878), (4, 0.015242767), (5, 0.015174738)]",0,NEGATIVE,0.932029664516449
ancestor ,"[(0, 0.083349645), (1, 0.08334957), (2, 0.08334942), (3, 0.5826003), (4, 0.08334931), (5, 0.084001735)]",3,POSITIVE,0.9943296313285828
ancestor coffin hold climb grandson forget origin ,"[(0, 0.020872742), (1, 0.021300694), (2, 0.020988058), (3, 0.89465964), (4, 0.021081826), (5, 0.021097021)]",3,NEGATIVE,0.9877788424491882
angel ,"[(0, 0.083348356), (1, 0.5832583), (2, 0.0833481), (3, 0.08334859), (4, 0.08334804), (5, 0.08334865)]",1,POSITIVE,0.9970541000366211
angry love people sorry.i dont china provinces.what province ,"[(0, 0.2908813), (1, 0.018711353), (2, 0.01876597), (3, 0.6341837), (4, 0.018806549), (5, 0.01865109)]",3,NEGATIVE,0.9962257146835327
anhui ,"[(0, 0.08350009), (1, 0.083499275), (2, 0.08349731), (3, 0.08350108), (4, 0.582499), (5, 0.08350322)]",4,POSITIVE,0.9268205165863037
animal ,"[(0, 0.08348686), (1, 0.5816939), (2, 0.0835067), (3, 0.08336135), (4, 0.08436126), (5, 0.08358997)]",1,POSITIVE,0.9958601593971252
animal abuser ,"[(0, 0.055637415), (1, 0.7212531), (2, 0.055642385), (3, 0.05560245), (4, 0.056197908), (5, 0.05566673)]",1,NEGATIVE,0.9982160925865173
animal activist wonderful people hard save brutal slaughter respect protection hear human ,"[(0, 0.012861771), (1, 0.13761885), (2, 0.01287214), (3, 0.8108053), (4, 0.012968577), (5, 0.012873344)]",3,POSITIVE,0.9974290728569031
animal agree leave decency sick china torturer ,"[(0, 0.020896062), (1, 0.021300403), (2, 0.89467907), (3, 0.020929838), (4, 0.021118956), (5, 0.021075651)]",2,NEGATIVE,0.9970593452453613
animal beautiful ,"[(0, 0.055985138), (1, 0.72122633), (2, 0.055683285), (3, 0.055587314), (4, 0.055829246), (5, 0.05568867)]",1,POSITIVE,0.9998642206192017
animal china bear mare ,"[(0, 0.03349501), (1, 0.034194592), (2, 0.83137023), (3, 0.033373244), (4, 0.03406497), (5, 0.03350197)]",2,NEGATIVE,0.929667592048645
animal chinese ,"[(0, 0.055801336), (1, 0.7206866), (2, 0.055800803), (3, 0.05586139), (4, 0.0561373), (5, 0.055712555)]",1,POSITIVE,0.9934170246124268
animal chinese government vegan live china protection nonexistent modern region racist generalize wonderful people angry remedy mention pollution poach situation medicine pangolin tiger shark visit country ,"[(4, 0.96885026)]",4,NEGATIVE,0.9447212815284729
animal deserve people horse live chinese unfair oder matter life disrespectful china stopasianhate ,"[(0, 0.63855785), (1, 0.31327635), (2, 0.01209534), (3, 0.01197069), (4, 0.0120202545), (5, 0.012079455)]",0,NEGATIVE,0.9980120658874512
animal elephant talk lion ,"[(0, 0.34149322), (1, 0.52430433), (2, 0.033494752), (3, 0.033761848), (4, 0.033558797), (5, 0.033387057)]",1,NEGATIVE,0.9501639604568481
animal festival purely government organize ceremony spontaneous actrelated local food culture ecological chain provide human consumption politician foreign religious force vebeen ancompaine protection excise accord investigation ,"[(4, 0.968981)]",4,POSITIVE,0.7440135478973389
animal friend ,"[(0, 0.055642888), (1, 0.71934223), (2, 0.056079872), (3, 0.05738903), (4, 0.055818107), (5, 0.055727854)]",1,POSITIVE,0.9980060458183289
animal infect 1960s contract spread muslim karma ,"[(0, 0.02092048), (1, 0.021284398), (2, 0.020932032), (3, 0.021039775), (4, 0.021475978), (5, 0.89434737)]",5,NEGATIVE,0.9791796803474426
animal love eating crazy spreading disease traditional chinese medicine bullshit kill endanger tiger lion ,"[(0, 0.011151663), (1, 0.9442337), (2, 0.0111478595), (3, 0.0111673465), (4, 0.011169242), (5, 0.011130151)]",1,NEGATIVE,0.6180047392845154
animal people feel cheap asian shot entertain friend study student university life chin exotic meat germany lock harm pervert food culture discriminate speak loud feeling hate corona racist blame time ,"[(1, 0.90600747), (4, 0.07232287)]",1,NEGATIVE,0.9962993264198303
animal rude google market chinese real wildlife china squirrel spread disease tourist switzerland people check photo snake denial savage ,"[(0, 0.17212516), (4, 0.7942938)]",4,NEGATIVE,0.9979598522186279
anonymous ,"[(0, 0.083441414), (1, 0.0834408), (2, 0.08343958), (3, 0.5827956), (4, 0.0834392), (5, 0.08344337)]",3,NEGATIVE,0.7373402118682861
anshan pony ,"[(0, 0.055633295), (1, 0.72183436), (2, 0.055632126), (3, 0.055633776), (4, 0.055631865), (5, 0.055634577)]",1,POSITIVE,0.8624779582023621
answer question start respect ,"[(0, 0.03338125), (1, 0.03361289), (2, 0.033617847), (3, 0.83226013), (4, 0.033661466), (5, 0.033466406)]",3,POSITIVE,0.9956608414649963
anti asian racism glare ,"[(0, 0.03340266), (1, 0.2083435), (2, 0.033454813), (3, 0.65794367), (4, 0.033370327), (5, 0.033485066)]",3,NEGATIVE,0.983029305934906
anti racism friend south korea mate life china wrong racist excuse buddy ,"[(0, 0.012887004), (1, 0.012958652), (2, 0.9352167), (3, 0.01307117), (4, 0.012922984), (5, 0.012943472)]",2,NEGATIVE,0.9894793629646301
antiasianracism ,"[(0, 0.08342735), (1, 0.08342694), (2, 0.08342581), (3, 0.083427876), (4, 0.08342544), (5, 0.58286655)]",5,NEGATIVE,0.9938321113586426
antichina loser shit stay business nice gold ,"[(0, 0.020860696), (1, 0.020888258), (2, 0.45114383), (3, 0.020952025), (4, 0.4650331), (5, 0.021122053)]",4,POSITIVE,0.9924599528312683
antichinese bashing ,"[(0, 0.055714954), (1, 0.055709407), (2, 0.05564633), (3, 0.2877824), (4, 0.48926938), (5, 0.05587753)]",4,NEGATIVE,0.998421311378479
antichinese racist ,"[(0, 0.05558507), (1, 0.055944074), (2, 0.055632595), (3, 0.7209877), (4, 0.055671383), (5, 0.056179203)]",3,NEGATIVE,0.9968743324279785
antichinese racist nonsense stopasianhate ,"[(0, 0.033376448), (1, 0.6270142), (2, 0.03336023), (3, 0.23923388), (4, 0.03342757), (5, 0.033587623)]",1,NEGATIVE,0.9970970153808594
antichineseracism ,"[(0, 0.08346036), (1, 0.5826998), (2, 0.083458185), (3, 0.08346115), (4, 0.08345782), (5, 0.08346273)]",1,NEGATIVE,0.9782044887542725
antiracism ,"[(0, 0.08346026), (1, 0.5827002), (2, 0.083458126), (3, 0.083461076), (4, 0.08345775), (5, 0.08346264)]",1,NEGATIVE,0.9912341237068176
antiviras natural honey garlic ,"[(0, 0.03361029), (1, 0.033629347), (2, 0.033422936), (3, 0.033354744), (4, 0.03335426), (5, 0.8326284)]",5,NEGATIVE,0.8369695544242859
antiwhite antimuslim racist ,"[(0, 0.04170005), (1, 0.041867808), (2, 0.04173388), (3, 0.7910373), (4, 0.041719314), (5, 0.041941606)]",3,NEGATIVE,0.9870282411575317
anxious jealous sick ,"[(0, 0.041712277), (1, 0.041856945), (2, 0.790819), (3, 0.04218283), (4, 0.041736178), (5, 0.04169278)]",2,NEGATIVE,0.9974876642227173
apags positive energy ,"[(0, 0.04174039), (1, 0.04168676), (2, 0.041686542), (3, 0.79149616), (4, 0.041702997), (5, 0.04168716)]",3,POSITIVE,0.9998674392700195
apologize ,"[(0, 0.08344145), (1, 0.08344094), (2, 0.08343963), (3, 0.5827953), (4, 0.08343923), (5, 0.08344345)]",3,NEGATIVE,0.9994149208068848
appearance chinese athlete concern wrong amaga ,"[(0, 0.023990054), (1, 0.26347163), (2, 0.6405985), (3, 0.023908917), (4, 0.02414922), (5, 0.023881678)]",2,NEGATIVE,0.9710181355476379
appetite ,"[(0, 0.083488144), (1, 0.08348739), (2, 0.5825591), (3, 0.083489336), (4, 0.083485), (5, 0.08349102)]",2,POSITIVE,0.9987263083457947
apple ,"[(0, 0.0833422), (1, 0.083342165), (2, 0.083416164), (3, 0.58321506), (4, 0.083342016), (5, 0.08334238)]",3,POSITIVE,0.9942066669464111
apple amazing ,"[(0, 0.05559129), (1, 0.057267822), (2, 0.055611253), (3, 0.7203471), (4, 0.0555906), (5, 0.055591922)]",3,POSITIVE,0.9998672008514404
apple plastic ,"[(0, 0.055591207), (1, 0.05559104), (2, 0.055611353), (3, 0.722024), (4, 0.055590548), (5, 0.055591796)]",3,NEGATIVE,0.9942554831504822
appoints ,"[(0, 0.083500326), (1, 0.08349962), (2, 0.083497636), (3, 0.08350158), (4, 0.5824973), (5, 0.08350352)]",4,POSITIVE,0.9927685260772705
appreciated ,"[(0, 0.16666667), (1, 0.16666667), (2, 0.16666667), (3, 0.16666667), (4, 0.16666667), (5, 0.16666667)]",0,POSITIVE,0.9998258948326111
araki gosholkoray ,"[(0, 0.055657588), (1, 0.055657115), (2, 0.055656053), (3, 0.05565819), (4, 0.72171175), (5, 0.05565928)]",4,POSITIVE,0.9939107894897461
argue coin ,"[(0, 0.05561293), (1, 0.056124706), (2, 0.055739142), (3, 0.055613264), (4, 0.7212961), (5, 0.055613905)]",4,NEGATIVE,0.965965211391449
army indian beat chinese ,"[(0, 0.033507172), (1, 0.03356613), (2, 0.83221865), (3, 0.03352004), (4, 0.033805218), (5, 0.03338279)]",2,POSITIVE,0.9074854850769043
army require lesson american indian corona spreader ,"[(0, 0.8950127), (1, 0.020880878), (2, 0.021157641), (3, 0.020866193), (4, 0.02122296), (5, 0.020859651)]",0,NEGATIVE,0.9705600738525391
army video indian beat chinese ,"[(0, 0.027919367), (1, 0.027902294), (2, 0.21330012), (3, 0.028021777), (4, 0.6749966), (5, 0.027859794)]",4,NEGATIVE,0.9712480306625366
article extensive proof simple google search ,"[(0, 0.8805982), (1, 0.023818411), (2, 0.023818329), (3, 0.023818508), (4, 0.023897847), (5, 0.024048714)]",0,POSITIVE,0.9907475709915161
ashamed call loser ,"[(0, 0.042152658), (1, 0.04230858), (2, 0.04171563), (3, 0.78938603), (4, 0.042404506), (5, 0.04203258)]",3,NEGATIVE,0.9935883283615112
ashamed talk ,"[(0, 0.7202514), (1, 0.055886257), (2, 0.055865567), (3, 0.056055818), (4, 0.05587612), (5, 0.056064866)]",0,NEGATIVE,0.9989311099052429
