Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,
周到,0.002,,热闹,0.002,,电话,0.003,,耐心,0.003,,灯光,0.004,,挺好,0.004,,房卡,0.003,,隔音,0.002,,完美,0.003,,国金,0.003,,打卡,0.004,,图片,0.002,,房东,0.003,
好像,0.002,,坐在,0.002,,弄堂,0.003,,江景,0.003,,品质,0.004,,失望,0.002,,提供,0.003,,商圈,0.002,,会儿,0.003,,打车,0.003,,温暖,0.002,,麻烦,0.002,,精致,0.003,
书桌,0.002,,蒸饺,0.002,,帮忙,0.003,,酒店,0.003,,餐食,0.004,,漏掉,0.002,,吝啬,0.003,,厨房,0.002,,休息,0.003,,无敌,0.003,,总台,0.002,,冰箱,0.002,,惊艳,0.003,
创意,0.002,,距离,0.002,,洗衣机,0.003,,出行,0.003,,办理手续,0.004,,接送,0.002,,浴室,0.003,,投影仪,0.002,,退房,0.003,,拍照,0.003,,睡到,0.002,,复式,0.002,,步行,0.003,
椅子,0.002,,窗户,0.002,,阳台,0.003,,冰箱,0.003,,点心,0.004,,通风,0.002,,喷得,0.003,,退房,0.002,,楼梯,0.003,,地铁,0.003,,不想,0.002,,音响效果,0.002,,咖啡厅,0.003,
微风,0.002,,可惜,0.002,,接受,0.003,,打卡,0.003,,自助,0.004,,干静,0.002,,回头客,0.003,,味道,0.002,,客栈,0.003,,超大,0.003,,超值,0.002,,打算,0.002,,感觉,0.003,
库房,0.002,,情侣,0.002,,情况,0.003,,冬瓜,0.003,,烧烤,0.004,,电影,0.002,,提前,0.003,,走路,0.002,,床垫,0.003,,好看,0.003,,相遇,0.002,,没事,0.002,,听到,0.003,
车程,0.002,,酒吧,0.002,,好评,0.003,,服务态度,0.002,,公寓,0.004,,配备,0.002,,生活用品,0.003,,停车,0.002,,电梯,0.003,,浴缸,0.003,,分离,0.002,,来定,0.002,,拍照,0.003,
询问,0.002,,布料,0.002,,宗街,0.002,,地铁站,0.002,,说法,0.004,,丫头,0.002,,公寓,0.003,,解决,0.002,,打扫,0.003,,宽敞,0.003,,放在,0.002,,回到,0.002,,潮宗,0.003,
搭理,0.002,,天花板,0.002,,沟通,0.002,,出门,0.002,,适合,0.004,,床上,0.002,,洗衣服,0.003,,很棒,0.002,,建议,0.003,,潮牌,0.003,,水晶灯,0.002,,直发,0.002,,效果,0.003,
商业街,0.002,,地铁,0.002,,发现,0.002,,位置,0.002,,超值,0.004,,红枣,0.002,,安排,0.003,,距离,0.002,,环境卫生,0.003,,满意,0.003,,穿越,0.002,,传统,0.002,,酒店,0.003,
中心,0.002,,网红,0.002,,经历,0.002,,交通,0.002,,一条街,0.004,,宠物,0.002,,拍照,0.003,,周到,0.002,,情况,0.003,,细节,0.003,,像直,0.002,,房型,0.002,,睡眠,0.003,
亲肤,0.002,,嚣张,0.002,,整洁,0.002,,给送,0.002,,确实,0.004,,小酒馆,0.002,,公交车,0.003,,总体,0.002,,自助,0.003,,咖啡,0.003,,结伴,0.002,,注定,0.002,,装修,0.003,
闯进,0.002,,品质,0.002,,咖啡厅,0.002,,走进,0.002,,店家,0.004,,工作人员,0.002,,需求,0.003,,宽敞,0.002,,告诉,0.003,,隔音,0.003,,网红,0.002,,电影,0.002,,洗衣机,0.003,
床头,0.002,,不用,0.002,,费用,0.002,,收到,0.002,,给出,0.004,,糖水,0.002,,担心,0.003,,步行,0.002,,房东,0.003,,情侣,0.003,,小朋友,0.002,,行李,0.002,,愉快,0.003,
管家,0.002,,咖啡,0.002,,尊重,0.002,,外溢,0.002,,主打,0.004,,房型,0.002,,超高,0.003,,惊喜,0.002,,风格,0.003,,不用,0.003,,重点,0.002,,老街区,0.002,,时间,0.003,
床单,0.002,,餐厅,0.002,,蜗牛,0.002,,宿舍,0.002,,视野,0.004,,衣帽间,0.002,,房主,0.003,,机会,0.002,,围炉,0.003,,打卡,0.003,,老街,0.002,,招待,0.002,,地方,0.003,
宗街,0.002,,宠物,0.002,,院子,0.002,,太火,0.002,,大树,0.004,,饭店,0.002,,登记,0.003,,体验,0.002,,住宿,0.003,,便利,0.003,,区域,0.002,,适中,0.002,,选择,0.003,
打听,0.002,,粉面,0.002,,感受,0.002,,纠结,0.002,,风格,0.004,,商业街,0.002,,玻璃门,0.003,,地铁站,0.002,,夜景,0.003,,管家,0.003,,船只,0.002,,蚊香,0.002,,提供,0.003,
清洁卫生,0.002,,浴缸,0.002,,给予,0.002,,选房,0.002,,性价比,0.004,,解决问题,0.002,,小酒馆,0.003,,正街,0.002,,热闹,0.003,,好喝,0.003,,大人,0.002,,老爸,0.002,,适合,0.003,
选错,0.002,,咖啡馆,0.002,,点点,0.002,,无比,0.002,,觉对,0.004,,毛孩子,0.002,,泳池,0.003,,泡澡,0.002,,机会,0.003,,艺术,0.002,,牛肉,0.002,,衣架,0.002,,一流,0.003,
印象,0.002,,夜市,0.002,,公交,0.002,,窗户,0.002,,市中心,0.004,,不用,0.002,,拿到,0.003,,看得出,0.002,,便利,0.003,,原木,0.002,,零乱,0.002,,温柔,0.002,,只能,0.003,
地铁,0.002,,粉店,0.002,,正好,0.002,,喧嚣,0.002,,很大,0.004,,不太好,0.002,,投屏,0.003,,麻烦,0.002,,民俗,0.003,,满满,0.002,,很棒,0.002,,孩子,0.002,,空调,0.003,
腔调,0.002,,首选,0.002,,火车,0.002,,高标准,0.002,,景点,0.004,,时间,0.002,,出炉,0.003,,耳塞,0.002,,走动,0.003,,布置,0.002,,门禁,0.002,,直出,0.002,,棒棒,0.003,
品味,0.002,,价格,0.002,,独立,0.002,,时间,0.002,,便利,0.004,,全身,0.002,,日式,0.003,,出门,0.002,,煮茶,0.003,,很爽,0.002,,干湿,0.002,,亲切,0.002,,感受,0.003,
回复,0.002,,住宿,0.002,,房卡,0.002,,挑毛病,0.002,,设施,0.004,,解答,0.002,,攻略,0.003,,温暖,0.002,,下午茶,0.003,,快乐,0.002,,完美,0.002,,挺静,0.002,,退房,0.003,
小风,0.002,,小朋友,0.002,,剃须刀,0.002,,隔离,0.002,,宽敞,0.004,,信息,0.002,,店家,0.003,,耐心,0.002,,吃饭,0.003,,店家,0.002,,稳定,0.002,,住处,0.002,,携程,0.003,
用心,0.002,,耐心,0.002,,直通,0.002,,护发素,0.002,,肯定,0.004,,小吃,0.002,,逛街,0.003,,标注,0.002,,老板,0.003,,节奏,0.002,,优惠期,0.002,,习惯,0.002,,友好,0.003,
退回,0.002,,特色,0.002,,简单,0.002,,喧哗,0.002,,送来,0.004,,满满,0.002,,咖啡厅,0.003,,足够,0.002,,地理位置,0.003,,图书室,0.002,,点心,0.002,,摆上,0.002,,交通,0.002,
睡觉,0.002,,遗憾,0.002,,酒吧,0.002,,惊喜,0.002,,酒店,0.004,,拍摄,0.002,,治愈,0.003,,配套,0.002,,夜市,0.003,,产品,0.002,,电影,0.002,,通风,0.002,,便利,0.002,
一大,0.002,,角落,0.002,,麻烦,0.002,,糊弄,0.002,,帮忙,0.004,,好评,0.002,,文和友,0.003,,床边,0.002,,好评,0.003,,定位,0.002,,想象,0.002,,电梯,0.002,,协商,0.002,
楼房,0.002,,不到,0.002,,划伤,0.002,,消防局,0.002,,休息,0.004,,洗手间,0.002,,开房,0.003,,露台,0.002,,霸王,0.001,,符合,0.002,,超市,0.002,,小吃,0.002,,经历,0.002,
看得出,0.002,,提供,0.002,,回到,0.002,,号线,0.002,,格调,0.004,,氛围,0.002,,起床,0.003,,饭店,0.002,,人会,0.001,,不行,0.002,,关机,0.002,,小时,0.002,,样子,0.002,
小店,0.002,,美景,0.002,,有没有,0.002,,酒水,0.002,,感觉,0.004,,烟花,0.002,,步行,0.003,,卫生条件,0.002,,日式,0.001,,开过,0.002,,怪味,0.002,,买点,0.002,,清洁,0.002,
代名词,0.002,,出行,0.002,,粉店,0.002,,坐在,0.002,,柔和,0.004,,电动车,0.002,,小哥,0.003,,污渍,0.002,,事业,0.001,,分享,0.002,,浴缸,0.002,,攻略,0.002,,宗街,0.002,
亮点,0.002,,贴心,0.002,,投影仪,0.002,,界面,0.002,,打扫,0.004,,帆布袋,0.002,,布置,0.003,,宗街,0.002,,游客,0.001,,露台,0.002,,书屋,0.002,,清新,0.002,,回来,0.002,
