内容,主题概率,主题类型
大米 不错 包装 发货 太慢,"[(0, 0.015152156), (1, 0.84846556), (2, 0.015154439), (3, 0.015152779), (4, 0.015155195), (5, 0.01515285), (6, 0.015153199), (7, 0.015153783), (8, 0.015153967), (9, 0.015153244), (10, 0.015152808)]",1
一点 一份,"[(0, 0.03030384), (1, 0.0303038), (2, 0.030303784), (3, 0.030303732), (4, 0.030304775), (5, 0.6969605), (6, 0.03030371), (7, 0.030303795), (8, 0.03030369), (9, 0.0303038), (10, 0.030304521)]",5
视频 宣传 太普通,"[(0, 0.022756241), (1, 0.022750808), (2, 0.022748139), (3, 0.022743328), (4, 0.022743182), (5, 0.77253807), (6, 0.02274325), (7, 0.022743672), (8, 0.022744626), (9, 0.022743182), (10, 0.022745525)]",5
好吃 煮饭 好吃,"[(0, 0.022744987), (1, 0.7725461), (2, 0.022745864), (3, 0.022745412), (4, 0.022744955), (5, 0.022747368), (6, 0.022745606), (7, 0.02274474), (8, 0.022745201), (9, 0.022744942), (10, 0.022744838)]",1
包装袋 损坏 大米 外包装,"[(0, 0.018183848), (1, 0.018184481), (2, 0.3620275), (3, 0.018183699), (4, 0.018186321), (5, 0.01818525), (6, 0.018184116), (7, 0.4743091), (8, 0.018188596), (9, 0.018183557), (10, 0.018183557)]",7
时间 收到,"[(0, 0.03030454), (1, 0.030305345), (2, 0.030308535), (3, 0.69694823), (4, 0.030307027), (5, 0.030303564), (6, 0.030304383), (7, 0.030304609), (8, 0.030303638), (9, 0.030305658), (10, 0.030304493)]",3
口感 一分钱 一分货,"[(0, 0.022729198), (1, 0.022727802), (2, 0.022728173), (3, 0.022728577), (4, 0.022727737), (5, 0.022727875), (6, 0.02272822), (7, 0.022728888), (8, 0.02272754), (9, 0.022727506), (10, 0.7727185)]",10
好像 陈米,"[(0, 0.030387789), (1, 0.3774412), (2, 0.34906745), (3, 0.03038781), (4, 0.030387677), (5, 0.030387677), (6, 0.030387677), (7, 0.030387677), (8, 0.030387841), (9, 0.030388951), (10, 0.0303883)]",1
便宜 金龙鱼 粒香,"[(0, 0.022748668), (1, 0.02274514), (2, 0.022744799), (3, 0.022746032), (4, 0.022746302), (5, 0.022744894), (6, 0.022745157), (7, 0.53551465), (8, 0.022744974), (9, 0.25977153), (10, 0.022747856)]",7
不错 配送 快递 小哥 服务态度 极差,"[(0, 0.013002531), (1, 0.66074705), (2, 0.013002963), (3, 0.0130055975), (4, 0.013002935), (5, 0.013002519), (6, 0.013002885), (7, 0.013003298), (8, 0.22222304), (9, 0.01300425), (10, 0.013002921)]",1
老板 大米 收到 看不到 生产日期,"[(0, 0.015163259), (1, 0.015163306), (2, 0.8483664), (3, 0.015163359), (4, 0.015164228), (5, 0.015163449), (6, 0.015162846), (7, 0.015163458), (8, 0.015162753), (9, 0.015162809), (10, 0.015164095)]",2
执行 标准 大米,"[(0, 0.022745784), (1, 0.022746926), (2, 0.0227479), (3, 0.022745308), (4, 0.022750271), (5, 0.022749398), (6, 0.7725324), (7, 0.022745576), (8, 0.022746047), (9, 0.022745209), (10, 0.022745209)]",6
买回来 两次 买回来 好吃,"[(0, 0.01818959), (1, 0.81811893), (2, 0.018188281), (3, 0.01818769), (4, 0.018187566), (5, 0.018188542), (6, 0.018188404), (7, 0.018187504), (8, 0.01818763), (9, 0.018187555), (10, 0.018188342)]",1
包装 完美 很漂亮,"[(0, 0.022737404), (1, 0.02273815), (2, 0.022738218), (3, 0.022737494), (4, 0.022739625), (5, 0.022737505), (6, 0.022737436), (7, 0.7726216), (8, 0.022737354), (9, 0.022737706), (10, 0.022737535)]",7
米粒,"[(0, 0.04547791), (1, 0.04548082), (2, 0.545218), (3, 0.04547791), (4, 0.04547791), (5, 0.04547791), (6, 0.04547791), (7, 0.04547791), (8, 0.04547791), (9, 0.04547791), (10, 0.04547791)]",2
大米 收到 看着 不错 小贵,"[(0, 0.19810343), (1, 0.015153072), (2, 0.6655134), (3, 0.015152827), (4, 0.015154353), (5, 0.015153315), (6, 0.015153799), (7, 0.015153031), (8, 0.015155969), (9, 0.01515376), (10, 0.015153065)]",2
东西 收到,"[(0, 0.030304525), (1, 0.030307826), (2, 0.69694686), (3, 0.030306172), (4, 0.030305104), (5, 0.030305626), (6, 0.03030381), (7, 0.03030424), (8, 0.030303767), (9, 0.030304471), (10, 0.030307619)]",2
大米 不算,"[(0, 0.030304387), (1, 0.030305019), (2, 0.030305743), (3, 0.030305138), (4, 0.030308813), (5, 0.6969497), (6, 0.03030457), (7, 0.030304274), (8, 0.030304488), (9, 0.030303938), (10, 0.03030388)]",5
四袋 一袋 破损 原路 返回,"[(0, 0.015160726), (1, 0.015161248), (2, 0.015161563), (3, 0.015160757), (4, 0.015160979), (5, 0.0151607), (6, 0.015161254), (7, 0.8483875), (8, 0.015163657), (9, 0.015160622), (10, 0.015160966)]",7
不错 口感 不行,"[(0, 0.022729594), (1, 0.02272908), (2, 0.022730641), (3, 0.02272908), (4, 0.022728808), (5, 0.022728942), (6, 0.022729859), (7, 0.23837894), (8, 0.55705565), (9, 0.02272797), (10, 0.022731405)]",8
说好 收到,"[(0, 0.030308608), (1, 0.0303094), (2, 0.03031234), (3, 0.030309236), (4, 0.69690895), (5, 0.030308018), (6, 0.030308472), (7, 0.03030916), (8, 0.030308003), (9, 0.030309306), (10, 0.030308526)]",4
一点,"[(0, 0.045455314), (1, 0.045455165), (2, 0.045455102), (3, 0.045454904), (4, 0.045458492), (5, 0.54544324), (6, 0.045454826), (7, 0.045455143), (8, 0.04545476), (9, 0.04545516), (10, 0.045457866)]",5
在家 评论,"[(0, 0.030320926), (1, 0.03032152), (2, 0.030321032), (3, 0.030320965), (4, 0.030320968), (5, 0.030321898), (6, 0.69678557), (7, 0.030324325), (8, 0.030320926), (9, 0.030320926), (10, 0.030320978)]",6
大米 质量 不好,"[(0, 0.56842), (1, 0.022729484), (2, 0.022730127), (3, 0.022728149), (4, 0.22701685), (5, 0.022731265), (6, 0.022730155), (7, 0.02272853), (8, 0.022728696), (9, 0.022728322), (10, 0.022728428)]",0
包装 不算,"[(0, 0.03030437), (1, 0.030305754), (2, 0.030306177), (3, 0.030306876), (4, 0.34224266), (5, 0.3850097), (6, 0.030304166), (7, 0.030306848), (8, 0.030304076), (9, 0.030304968), (10, 0.030304413)]",5
包装 太丑,"[(0, 0.03034449), (1, 0.030346181), (2, 0.030346544), (3, 0.030344717), (4, 0.3493355), (5, 0.030344747), (6, 0.37755647), (7, 0.03034695), (8, 0.030344363), (9, 0.030345254), (10, 0.030344822)]",6
发货 太慢,"[(0, 0.030303856), (1, 0.69694716), (2, 0.03030598), (3, 0.030304799), (4, 0.030304084), (5, 0.030303758), (6, 0.030304255), (7, 0.030309342), (8, 0.030304166), (9, 0.030308876), (10, 0.030303743)]",1
看错 十斤,"[(0, 0.030353427), (1, 0.030355), (2, 0.69645053), (3, 0.030353427), (4, 0.030356612), (5, 0.03035529), (6, 0.03035663), (7, 0.030353427), (8, 0.030358797), (9, 0.030353427), (10, 0.030353427)]",2
一分钱 一分货,"[(0, 0.030305661), (1, 0.03030332), (2, 0.030303333), (3, 0.030305106), (4, 0.030303515), (5, 0.03030332), (6, 0.030303909), (7, 0.03030332), (8, 0.03030332), (9, 0.03030332), (10, 0.6969619)]",10
过后 评价,"[(0, 0.03030684), (1, 0.030305935), (2, 0.030304156), (3, 0.030304112), (4, 0.03030435), (5, 0.030304112), (6, 0.030304017), (7, 0.3532329), (8, 0.030306408), (9, 0.030304031), (10, 0.3740231)]",10
开封 好吃,"[(0, 0.030339092), (1, 0.69659615), (2, 0.030340036), (3, 0.030343998), (4, 0.03033906), (5, 0.030341292), (6, 0.030339759), (7, 0.030343266), (8, 0.030339323), (9, 0.030339042), (10, 0.03033893)]",1
物流 太慢,"[(0, 0.030303523), (1, 0.6969559), (2, 0.03030426), (3, 0.030307138), (4, 0.030303843), (5, 0.030303802), (6, 0.030303717), (7, 0.030305015), (8, 0.030303562), (9, 0.030305643), (10, 0.0303036)]",1
不好 难吃,"[(0, 0.030309279), (1, 0.030303873), (2, 0.030303402), (3, 0.030303422), (4, 0.030305197), (5, 0.69695485), (6, 0.030303668), (7, 0.030303648), (8, 0.030303402), (9, 0.030304205), (10, 0.030305063)]",5
感觉,"[(0, 0.04545501), (1, 0.045458317), (2, 0.045456182), (3, 0.54543704), (4, 0.045456614), (5, 0.04545917), (6, 0.045455568), (7, 0.045454957), (8, 0.045454986), (9, 0.045454707), (10, 0.045457426)]",3
市场价,"[(0, 0.045498516), (1, 0.045498516), (2, 0.045498516), (3, 0.045498516), (4, 0.045498516), (5, 0.045498516), (6, 0.045498516), (7, 0.045498516), (8, 0.045498516), (9, 0.5450148), (10, 0.045498516)]",9
希望 好吃,"[(0, 0.030308312), (1, 0.03030682), (2, 0.030307826), (3, 0.030304585), (4, 0.030311381), (5, 0.6969328), (6, 0.03030648), (7, 0.030305332), (8, 0.030304512), (9, 0.030307911), (10, 0.03030404)]",5
大包,"[(0, 0.04554052), (1, 0.045546435), (2, 0.54458886), (3, 0.04554052), (4, 0.04554052), (5, 0.04554052), (6, 0.04554052), (7, 0.04554052), (8, 0.04554052), (9, 0.04554052), (10, 0.04554052)]",2
一分 价钱 一分货,"[(0, 0.7727209), (1, 0.02272756), (2, 0.022727575), (3, 0.022728208), (4, 0.022728568), (5, 0.022727551), (6, 0.022728221), (7, 0.022727618), (8, 0.022727551), (9, 0.022727575), (10, 0.02272866)]",0
超市,"[(0, 0.045455143), (1, 0.045455843), (2, 0.045455143), (3, 0.5454438), (4, 0.045455143), (5, 0.045457523), (6, 0.045455225), (7, 0.045455225), (8, 0.045455143), (9, 0.045455143), (10, 0.045456685)]",3
不咋地,"[(0, 0.045457162), (1, 0.5454256), (2, 0.045457415), (3, 0.045457162), (4, 0.04545868), (5, 0.045457374), (6, 0.045457162), (7, 0.04545752), (8, 0.0454576), (9, 0.045457162), (10, 0.045457162)]",1
吃力 评价,"[(0, 0.03034968), (1, 0.030348746), (2, 0.030347018), (3, 0.3706614), (4, 0.03034721), (5, 0.030346973), (6, 0.03034688), (7, 0.35620904), (8, 0.030349156), (9, 0.030346893), (10, 0.03034701)]",3
