时间,fenci,主题概率,主题类型
2024-03-14,國際 原子能 機構 幹事 高度 評價 處理水 排海,"[(0, 0.018584019), (1, 0.906936), (2, 0.018652283), (3, 0.018565398), (4, 0.018682437), (5, 0.018579852)]",1
2024-07-10,表态,"[(0, 0.08339889), (1, 0.08334054), (2, 0.08335162), (3, 0.08334447), (4, 0.08340443), (5, 0.58316004)]",5
2024-03-14,回旋 愚蠢,"[(0, 0.72158796), (1, 0.05566383), (2, 0.0556634), (3, 0.055722885), (4, 0.055667695), (5, 0.05569424)]",0
2024-03-13,表态,"[(0, 0.083399266), (1, 0.08334054), (2, 0.08335162), (3, 0.083344474), (4, 0.08340484), (5, 0.58315927)]",5
2024-03-13,表态,"[(0, 0.08339865), (1, 0.08334053), (2, 0.083351605), (3, 0.08334446), (4, 0.08340413), (5, 0.5831606)]",5
2024-03-12,足够 海水 稀释 浓度 够低 物质 放射性物质 半衰期 公布 不让 国家 关键,"[(0, 0.15088736), (1, 0.013015232), (2, 0.012911411), (3, 0.79732317), (4, 0.012975214), (5, 0.012887622)]",3
2024-03-13,远程 技术,"[(0, 0.055699192), (1, 0.055780645), (2, 0.72046), (3, 0.056117218), (4, 0.05593215), (5, 0.056010805)]",2
2024-03-13,小组,"[(0, 0.08350864), (1, 0.5801741), (2, 0.084654525), (3, 0.083510086), (4, 0.08350973), (5, 0.08464294)]",1
2024-03-13,排放 前用 过滤 装置 过滤 过滤 不掉,"[(0, 0.020997554), (1, 0.020980287), (2, 0.89482474), (3, 0.021196935), (4, 0.02107733), (5, 0.020923134)]",2
2024-03-13,全世界 实验室 开放,"[(0, 0.04179003), (1, 0.7903045), (2, 0.0417443), (3, 0.042166866), (4, 0.0419656), (5, 0.042028684)]",1
2024-03-13,专家 声明 背书 原子能 机构 不备 熔毁 堆芯 核心 区域 样本 提供,"[(0, 0.012908788), (1, 0.0128566595), (2, 0.013018044), (3, 0.012891069), (4, 0.58355254), (5, 0.36477292)]",4
2024-03-13,市场 开放,"[(0, 0.055718232), (1, 0.056770988), (2, 0.05575149), (3, 0.05593283), (4, 0.055814978), (5, 0.72001153)]",5
2024-03-12,暖和,"[(0, 0.08353984), (1, 0.08354228), (2, 0.08354115), (3, 0.08354145), (4, 0.58229446), (5, 0.083540834)]",4
2024-03-12,国际原子能机构 小组 包括 专家,"[(0, 0.033682615), (1, 0.0336557), (2, 0.55217016), (3, 0.034107804), (4, 0.3125595), (5, 0.033824187)]",2
2024-03-13,下岗 失业 本质 区别 迷惑,"[(0, 0.0281246), (1, 0.027820848), (2, 0.027910033), (3, 0.7374492), (4, 0.02818025), (5, 0.15051508)]",3
2024-03-13,国际 原子能 组织 国际标准,"[(0, 0.03396075), (1, 0.033879872), (2, 0.8312709), (3, 0.033760544), (4, 0.033718955), (5, 0.033409066)]",2
2024-03-13,雄辩,"[(0, 0.08353982), (1, 0.083542295), (2, 0.58229434), (3, 0.08354154), (4, 0.08354116), (5, 0.08354081)]",2
2024-03-12,无害,"[(0, 0.08346766), (1, 0.08476911), (2, 0.5814486), (3, 0.08338456), (4, 0.08349386), (5, 0.083436176)]",2
2024-03-12,解释,"[(0, 0.08340806), (1, 0.0841548), (2, 0.5817495), (3, 0.08334443), (4, 0.08390956), (5, 0.083433665)]",2
2024-03-12,详细 公布 数据 国民,"[(0, 0.033614025), (1, 0.033788763), (2, 0.03367477), (3, 0.033439744), (4, 0.83175534), (5, 0.03372737)]",4
2024-03-13,攻击,"[(0, 0.08334547), (1, 0.58240414), (2, 0.083342224), (3, 0.08350252), (4, 0.08340352), (5, 0.0840021)]",1
2024-03-12,败类,"[(0, 0.083412826), (1, 0.083413824), (2, 0.58242077), (3, 0.08341347), (4, 0.08392591), (5, 0.08341319)]",2
2024-03-12,情况,"[(0, 0.58037573), (1, 0.08382801), (2, 0.08398307), (3, 0.08427387), (4, 0.083505236), (5, 0.08403409)]",0
2024-03-14,误导,"[(0, 0.5829954), (1, 0.08336315), (2, 0.08354557), (3, 0.08336995), (4, 0.08336299), (5, 0.08336295)]",0
2024-03-12,请问 废水 含有 数据,"[(0, 0.03374169), (1, 0.033573), (2, 0.03363111), (3, 0.03342185), (4, 0.8320248), (5, 0.033607554)]",4
2024-03-12,原子能 机构 专业 水平 核武 物质,"[(0, 0.31243613), (1, 0.023842897), (2, 0.5916235), (3, 0.0239958), (4, 0.02420692), (5, 0.023894772)]",2
2024-03-12,液态 名词,"[(0, 0.056422483), (1, 0.055683207), (2, 0.05568255), (3, 0.056159347), (4, 0.72037005), (5, 0.05568238)]",4
2024-03-12,所答 内容 国家 行业 答复 排放 污水 融毁 堆芯 肯定 含有 衰变 元素,"[(0, 0.25293392), (1, 0.01202587), (2, 0.011970921), (3, 0.69900614), (4, 0.01207467), (5, 0.011988424)]",3
2024-03-13,本质区别,"[(0, 0.08400467), (1, 0.5819473), (2, 0.08372131), (3, 0.08361409), (4, 0.08335629), (5, 0.08335628)]",1
2024-03-12,排放 总量 排放 浓度 概念 废水 排放 标准 排放 总量 排放 浓度,"[(0, 0.83987594), (1, 0.012975846), (2, 0.012942504), (3, 0.10836028), (4, 0.0129736755), (5, 0.012871779)]",0
2024-03-12,压根 正面 做出 解释,"[(0, 0.03337334), (1, 0.033440985), (2, 0.8329668), (3, 0.0333761), (4, 0.033445515), (5, 0.033397257)]",2
2024-03-12,讨厌,"[(0, 0.08340737), (1, 0.083433904), (2, 0.083345674), (3, 0.083800286), (4, 0.08334567), (5, 0.5826671)]",5
2024-03-13,打得,"[(0, 0.083511166), (1, 0.58243966), (2, 0.083512254), (3, 0.083512604), (4, 0.08351232), (5, 0.08351198)]",1
2024-03-12,回答 废水 污染物 绕来 绕去,"[(0, 0.027918112), (1, 0.027931226), (2, 0.027970137), (3, 0.028331317), (4, 0.85998124), (5, 0.027867947)]",4
2024-03-12,肯定,"[(0, 0.08347792), (1, 0.083738476), (2, 0.08349937), (3, 0.58248836), (4, 0.083363876), (5, 0.083432)]",3
2024-03-13,回应 回得 搞笑,"[(0, 0.041952696), (1, 0.3012349), (2, 0.041892987), (3, 0.042363167), (4, 0.042302534), (5, 0.53025377)]",5
2024-03-13,含量 降低 技术 成本 能耗,"[(0, 0.8593267), (1, 0.028093034), (2, 0.028124051), (3, 0.028149882), (4, 0.02806536), (5, 0.02824093)]",0
2024-03-14,逻辑 鬼才 完美,"[(0, 0.042046193), (1, 0.041709818), (2, 0.04181433), (3, 0.04174926), (4, 0.7904622), (5, 0.042218193)]",4
2024-03-13,国际原子能机构 废水 放射性物质 含量 低于 标准,"[(0, 0.88016844), (1, 0.023968542), (2, 0.023901137), (3, 0.024051314), (4, 0.02400918), (5, 0.023901334)]",0
2024-03-12,常识,"[(0, 0.08371996), (1, 0.08336223), (2, 0.083600275), (3, 0.58224), (4, 0.08356558), (5, 0.08351194)]",3
2024-03-12,数据 世界,"[(0, 0.05581701), (1, 0.056106053), (2, 0.056271117), (3, 0.055815972), (4, 0.056389365), (5, 0.7196005)]",5
2024-03-13,废水 核污染 概念 废水 核能 过程 废水 废水 达标 排入 人类 工业 企业 过程 净化 排出 核污染 核事故 全世界 隔离,"[(0, 0.59874105), (1, 0.36921647)]",0
2024-03-13,数据 数据,"[(0, 0.055678613), (1, 0.05570972), (2, 0.055787366), (3, 0.05564092), (4, 0.055938356), (5, 0.72124505)]",5
2024-03-13,表演,"[(0, 0.58309233), (1, 0.083381765), (2, 0.08338145), (3, 0.083381556), (4, 0.08338147), (5, 0.08338142)]",0
2024-03-13,测出 糖果 超标,"[(0, 0.7908084), (1, 0.041726965), (2, 0.042132523), (3, 0.04169278), (4, 0.0419482), (5, 0.041691165)]",0
2024-03-13,感冒 发烧 指标 不准,"[(0, 0.033471216), (1, 0.83248943), (2, 0.03339534), (3, 0.033587184), (4, 0.03350517), (5, 0.03355162)]",1
2024-03-13,数据 说话,"[(0, 0.055629548), (1, 0.055713598), (2, 0.05567177), (3, 0.055600308), (4, 0.0557742), (5, 0.72161055)]",5
2024-03-12,发言,"[(0, 0.08349516), (1, 0.5821844), (2, 0.0834851), (3, 0.08363934), (4, 0.08337168), (5, 0.08382436)]",1
2024-03-14,核电站 废水 排放,"[(0, 0.7901859), (1, 0.04215331), (2, 0.041852925), (3, 0.041864917), (4, 0.042132217), (5, 0.04181069)]",0
2024-03-13,简单 证明 经济 花钱 方法,"[(0, 0.027929243), (1, 0.02802606), (2, 0.2392729), (3, 0.027917204), (4, 0.027966367), (5, 0.64888823)]",5
2024-03-13,通俗 污水 回收 污水 处理厂 达标 排放 污水 排放 污水 元素,"[(0, 0.0140079595), (1, 0.014075891), (2, 0.013926666), (3, 0.014125276), (4, 0.92994434), (5, 0.0139198415)]",4
2024-03-13,不测 提交 报告 提到 食品 检出 超标,"[(0, 0.30084878), (1, 0.02092889), (2, 0.020988623), (3, 0.020940498), (4, 0.021111924), (5, 0.61518127)]",5
2024-03-13,本质,"[(0, 0.083487816), (1, 0.08336981), (2, 0.0833745), (3, 0.083808966), (4, 0.08351778), (5, 0.5824411)]",5
2024-03-13,重金属 超标 重金属 超标 便当,"[(0, 0.8609858), (1, 0.027812948), (2, 0.027794411), (3, 0.027802834), (4, 0.027802397), (5, 0.027801586)]",0
2024-03-13,本质区别 解释,"[(0, 0.055770632), (1, 0.72080296), (2, 0.056343112), (3, 0.05564045), (4, 0.055832077), (5, 0.0556108)]",1
2024-03-13,出动,"[(0, 0.0846629), (1, 0.083541796), (2, 0.0835406), (3, 0.08354107), (4, 0.58117336), (5, 0.083540246)]",4
2024-03-13,学校 开设 逻辑 对话 素材 不错 否定,"[(0, 0.021028977), (1, 0.021081258), (2, 0.7000507), (3, 0.020939479), (4, 0.21589093), (5, 0.021008654)]",2
2024-03-13,有害物质 数据,"[(0, 0.055833295), (1, 0.05625926), (2, 0.055842128), (3, 0.055623654), (4, 0.055952653), (5, 0.72048897)]",5
2024-03-13,醒来 刷到 工作室 账号,"[(0, 0.033717748), (1, 0.23240353), (2, 0.033388067), (3, 0.033400007), (4, 0.6336124), (5, 0.033478275)]",4
2024-03-13,物质 放射性物质,"[(0, 0.7211949), (1, 0.055597816), (2, 0.055694815), (3, 0.055760518), (4, 0.056094106), (5, 0.055657826)]",0
2024-03-13,能量 排放,"[(0, 0.055979595), (1, 0.056278776), (2, 0.05606981), (3, 0.05573007), (4, 0.72003835), (5, 0.05590343)]",4
2024-03-12,微薄 智商 本质区别 解释,"[(0, 0.03340954), (1, 0.8328458), (2, 0.03357534), (3, 0.033374332), (4, 0.03342881), (5, 0.033366174)]",1
2024-03-12,抛开 数据 废水 污水,"[(0, 0.03360606), (1, 0.03365112), (2, 0.033490047), (3, 0.033472326), (4, 0.83203715), (5, 0.033743285)]",4
2024-03-12,抓紧 落实 改正,"[(0, 0.041735195), (1, 0.04173589), (2, 0.7913222), (3, 0.04173567), (4, 0.041735582), (5, 0.04173547)]",2
2024-03-12,海域 超标,"[(0, 0.719895), (1, 0.0560931), (2, 0.055617414), (3, 0.056593973), (4, 0.056165304), (5, 0.055635232)]",0
2024-03-12,国家 废水,"[(0, 0.056135114), (1, 0.71989584), (2, 0.0558643), (3, 0.056171976), (4, 0.056041244), (5, 0.055891544)]",1
2024-03-12,区别,"[(0, 0.084534), (1, 0.08339908), (2, 0.083744176), (3, 0.083510764), (4, 0.5801528), (5, 0.08465914)]",4
2024-03-12,提高 免疫力,"[(0, 0.056322314), (1, 0.05594999), (2, 0.7200347), (3, 0.055598717), (4, 0.055830825), (5, 0.056263436)]",2
2024-03-12,发炎 精分,"[(0, 0.7209703), (1, 0.055712458), (2, 0.055711687), (3, 0.05571194), (4, 0.056182172), (5, 0.055711467)]",0
2024-03-12,产品 人品,"[(0, 0.05573503), (1, 0.055735923), (2, 0.056453843), (3, 0.055983037), (4, 0.72008014), (5, 0.05601207)]",4
2024-03-12,排放 废水 指标 有没有 国家 流出 含量 数据,"[(0, 0.3103321), (1, 0.018785361), (2, 0.01865769), (3, 0.0186925), (4, 0.01871305), (5, 0.6148192)]",5
2024-03-12,没看,"[(0, 0.58310467), (1, 0.08335267), (2, 0.08335255), (3, 0.08348499), (4, 0.08335257), (5, 0.08335257)]",0
2024-03-12,没认 过错,"[(0, 0.7205516), (1, 0.055712603), (2, 0.0561659), (3, 0.055712055), (4, 0.055711802), (5, 0.056146022)]",0
2024-03-12,区别,"[(0, 0.0845346), (1, 0.08339913), (2, 0.083744526), (3, 0.0835109), (4, 0.5801247), (5, 0.08468615)]",4
2024-03-12,宇宙 真理,"[(0, 0.28059077), (1, 0.05561765), (2, 0.05572174), (3, 0.055600516), (4, 0.49683276), (5, 0.055636577)]",4
2024-03-12,外交 定律 否认 代表,"[(0, 0.8315611), (1, 0.03436213), (2, 0.0335206), (3, 0.033417873), (4, 0.033628207), (5, 0.0335101)]",0
2024-03-12,癌症 白血病,"[(0, 0.05602833), (1, 0.05583227), (2, 0.055928435), (3, 0.05588547), (4, 0.05559313), (5, 0.72073233)]",5
2024-03-12,尴尬,"[(0, 0.0833557), (1, 0.08335604), (2, 0.08335621), (3, 0.08415682), (4, 0.083355874), (5, 0.58241934)]",5
2024-03-12,核污染 液态,"[(0, 0.721214), (1, 0.055741705), (2, 0.055606246), (3, 0.055940144), (4, 0.055901565), (5, 0.05559632)]",0
2024-03-14,回事 排放 污水 核电站 降温 泄漏 物质 实质 接触 排出 废水 包括 污水 泄漏 物质 实质 接触 过过 海水 说法 年头 隐瞒 排放 核心 元素,"[(4, 0.96776986)]",4
2024-03-12,本质区别,"[(0, 0.08399438), (1, 0.58195794), (2, 0.08372124), (3, 0.083613865), (4, 0.08335628), (5, 0.083356276)]",1
2024-03-12,回复 优秀 栋梁,"[(0, 0.042171903), (1, 0.04169065), (2, 0.041712955), (3, 0.2099942), (4, 0.6225731), (5, 0.04185723)]",4
2024-03-12,了比,"[(0, 0.08353978), (1, 0.08354225), (2, 0.08354108), (3, 0.08354153), (4, 0.5822946), (5, 0.083540775)]",4
2024-03-13,专业 知识点,"[(0, 0.05564502), (1, 0.05562182), (2, 0.055760484), (3, 0.05579175), (4, 0.7215478), (5, 0.05563316)]",4
2024-03-13,否认 浓度,"[(0, 0.056173474), (1, 0.05563338), (2, 0.7198534), (3, 0.05650662), (4, 0.056072906), (5, 0.055760223)]",2
2024-03-12,糖果 放射性物质 相关 计划 取消,"[(0, 0.028057855), (1, 0.027921949), (2, 0.39199197), (3, 0.027882285), (4, 0.4962922), (5, 0.027853675)]",4
2024-03-14,喝一杯,"[(0, 0.08339576), (1, 0.08337614), (2, 0.08335134), (3, 0.083470464), (4, 0.58305496), (5, 0.08335132)]",4
2024-03-14,成性,"[(0, 0.08354088), (1, 0.083543316), (2, 0.5822892), (3, 0.08354256), (4, 0.08354223), (5, 0.08354183)]",2
2024-03-14,恭喜 广告费,"[(0, 0.05587274), (1, 0.72166276), (2, 0.055616103), (3, 0.05561621), (4, 0.05561612), (5, 0.055616025)]",1
2024-03-13,公说 婆说,"[(0, 0.05568869), (1, 0.055690106), (2, 0.05568944), (3, 0.05568966), (4, 0.055689458), (5, 0.72155267)]",5
2024-03-13,回答 不错,"[(0, 0.056305535), (1, 0.055599608), (2, 0.05570764), (3, 0.055614784), (4, 0.72101974), (5, 0.055752654)]",4
2024-03-13,完美 回避,"[(0, 0.38769558), (1, 0.38837638), (2, 0.055641968), (3, 0.055739887), (4, 0.056319464), (5, 0.05622672)]",1
2024-03-12,好像 威猛 样子 告诉 抛开 事实 责任,"[(0, 0.021103056), (1, 0.021045368), (2, 0.021007566), (3, 0.021289153), (4, 0.021097878), (5, 0.894457)]",5
2024-03-12,羞愧,"[(0, 0.083412), (1, 0.08341294), (2, 0.58243084), (3, 0.08341264), (4, 0.08391922), (5, 0.08341237)]",2
2024-03-12,无害,"[(0, 0.083465874), (1, 0.5814784), (2, 0.08474532), (3, 0.08338387), (4, 0.08349172), (5, 0.083434805)]",1
2024-03-13,放射性物质 声东击西 隐藏 危害 元素,"[(0, 0.028438779), (1, 0.028199865), (2, 0.028214563), (3, 0.028092563), (4, 0.8587709), (5, 0.028283333)]",4
2024-03-13,不知 废水 地沟油 危害,"[(0, 0.033768468), (1, 0.033599302), (2, 0.03372268), (3, 0.033499036), (4, 0.033541836), (5, 0.8318687)]",5
2024-03-13,污水,"[(0, 0.083945096), (1, 0.5810777), (2, 0.0834865), (3, 0.08375691), (4, 0.08438958), (5, 0.08334425)]",1
2024-03-13,无毒 无害 有毒 恶臭 姓资 优越 接受 反驳,"[(0, 0.79737175), (1, 0.1279788), (2, 0.018735005), (3, 0.018631667), (4, 0.018613875), (5, 0.018668925)]",0
2024-03-11,忍受 废水 不到,"[(0, 0.79063076), (1, 0.041973144), (2, 0.041782245), (3, 0.04180444), (4, 0.04190049), (5, 0.041908905)]",0
2024-07-11,过敏原,"[(0, 0.08355105), (1, 0.08355362), (2, 0.08355243), (3, 0.08355283), (4, 0.08355239), (5, 0.58223766)]",5
2024-07-13,回复,"[(0, 0.5821062), (1, 0.08333942), (2, 0.08340158), (3, 0.08333939), (4, 0.084003635), (5, 0.083809756)]",0
2024-07-12,语音,"[(0, 0.58205944), (1, 0.08358923), (2, 0.08358787), (3, 0.08358834), (4, 0.08358779), (5, 0.08358737)]",0
2024-07-11,世界 运行 县城 风度,"[(0, 0.033730827), (1, 0.033443917), (2, 0.033484265), (3, 0.033559196), (4, 0.83226657), (5, 0.03351526)]",4
2024-07-19,县城 确实 饿不死,"[(0, 0.79041564), (1, 0.041715905), (2, 0.04210738), (3, 0.041846167), (4, 0.04196441), (5, 0.041950513)]",0
2024-07-19,忘加 狗头,"[(0, 0.055681948), (1, 0.05568332), (2, 0.055682674), (3, 0.055682894), (4, 0.72158664), (5, 0.055682503)]",4
2024-07-12,风度 流行 吸毒 战乱 不休,"[(0, 0.86057305), (1, 0.0278442), (2, 0.027843896), (3, 0.027843995), (4, 0.027923003), (5, 0.02797184)]",0
2024-07-12,行刑,"[(0, 0.5820543), (1, 0.08359031), (2, 0.08358879), (3, 0.08358929), (4, 0.083588876), (5, 0.08358843)]",0
2024-07-11,结婚 不生 崽才,"[(0, 0.7910226), (1, 0.041745935), (2, 0.041745555), (3, 0.041974023), (4, 0.041756272), (5, 0.041755613)]",0
2024-07-11,结婚,"[(0, 0.583108), (1, 0.08334647), (2, 0.08334637), (3, 0.083346434), (4, 0.08342894), (5, 0.08342379)]",0
2024-07-11,油罐车 同事 看法 样子 同事 改变,"[(0, 0.023842758), (1, 0.023990568), (2, 0.68761456), (3, 0.023927255), (4, 0.024261186), (5, 0.21636365)]",2
2024-07-20,办法 装完,"[(0, 0.7202931), (1, 0.055637926), (2, 0.055979826), (3, 0.055815), (4, 0.05575319), (5, 0.056520928)]",0
2024-07-19,油罐车 事情,"[(0, 0.05599549), (1, 0.055724233), (2, 0.055969078), (3, 0.05646452), (4, 0.7199775), (5, 0.055869166)]",4
2024-07-18,回复 喝一杯 干净 卫生,"[(0, 0.03368669), (1, 0.033523183), (2, 0.033474244), (3, 0.034174338), (4, 0.83150446), (5, 0.03363707)]",4
2024-07-16,没错 民众,"[(0, 0.05587445), (1, 0.056005243), (2, 0.05571096), (3, 0.7209064), (4, 0.055940412), (5, 0.05556258)]",3
2024-07-13,力量 渺小,"[(0, 0.05604299), (1, 0.7207145), (2, 0.05598336), (3, 0.055681244), (4, 0.05580533), (5, 0.055772506)]",1
2024-07-12,合肥 毒油 确实 活着,"[(0, 0.033438448), (1, 0.033378463), (2, 0.83252424), (3, 0.033718154), (4, 0.03349672), (5, 0.033443987)]",2
2024-07-12,同事 矫情,"[(0, 0.05562551), (1, 0.7202079), (2, 0.056451067), (3, 0.05584592), (4, 0.055910718), (5, 0.05595884)]",1
2024-07-12,说到 废水,"[(0, 0.7209016), (1, 0.055915404), (2, 0.055769835), (3, 0.055759363), (4, 0.05586706), (5, 0.05578671)]",0
2024-07-12,废水 愤懑 担心 改变,"[(0, 0.033666786), (1, 0.033644952), (2, 0.8319428), (3, 0.033616684), (4, 0.033612564), (5, 0.033516183)]",2
2024-07-11,同事 担心 废水,"[(0, 0.04220538), (1, 0.04219858), (2, 0.7894502), (3, 0.041985735), (4, 0.04212781), (5, 0.04203226)]",2
2024-07-11,食品行业,"[(0, 0.5820616), (1, 0.08358887), (2, 0.083587416), (3, 0.08358789), (4, 0.08358736), (5, 0.083586894)]",0
2024-07-11,回复 关注,"[(0, 0.056811873), (1, 0.055692796), (2, 0.05570294), (3, 0.055719726), (4, 0.05612824), (5, 0.7199444)]",5
2024-07-11,表现 割裂,"[(0, 0.055623423), (1, 0.055839323), (2, 0.0559217), (3, 0.05569474), (4, 0.72119117), (5, 0.05572964)]",4
2024-07-11,结婚 孩子 孩子 孩子 省会 得不到 保障 地方,"[(0, 0.09292689), (1, 0.01862705), (2, 0.30305758), (3, 0.018662676), (4, 0.54802907), (5, 0.018696722)]",4
2024-07-11,办公室,"[(0, 0.08353892), (1, 0.083541416), (2, 0.08354017), (3, 0.0835405), (4, 0.5822991), (5, 0.083539866)]",4
2024-07-11,不吃 困难,"[(0, 0.056102704), (1, 0.24171416), (2, 0.056138135), (3, 0.056540977), (4, 0.056013297), (5, 0.5334907)]",5
2024-07-19,大厂 保证 干净,"[(0, 0.041749503), (1, 0.041770592), (2, 0.04170896), (3, 0.7913181), (4, 0.04172992), (5, 0.041722875)]",3
2024-07-19,榨油 工坊 干净 机器 干净 黄曲霉素 闹着玩,"[(0, 0.020940023), (1, 0.020888405), (2, 0.021146718), (3, 0.8951566), (4, 0.020903822), (5, 0.020964418)]",3
2024-07-12,县城 确实 不买,"[(0, 0.04218352), (1, 0.041721735), (2, 0.04257761), (3, 0.041932702), (4, 0.7895752), (5, 0.04200922)]",4
2024-07-12,比烂 留言 不用 敏感,"[(0, 0.033362966), (1, 0.033356793), (2, 0.033443257), (3, 0.033469636), (4, 0.8326809), (5, 0.033686444)]",4
2024-07-12,深耕 拥有 成市 华侨 资本 交易 内幕,"[(0, 0.8943897), (1, 0.020975444), (2, 0.021121817), (3, 0.020932332), (4, 0.02126184), (5, 0.021318879)]",0
2024-07-12,储粮 花生油 葵花籽 储粮 配方 公布 企业 劣质 良心 外资企业,"[(0, 0.0151882535), (1, 0.9240362), (2, 0.015187942), (3, 0.015182009), (4, 0.015177779), (5, 0.015227835)]",1
2024-07-12,县城 榨油 作坊,"[(0, 0.042026542), (1, 0.041790277), (2, 0.041855328), (3, 0.43114403), (4, 0.042057), (5, 0.40112683)]",3
2024-07-12,恐怖 龙头企业 足够 把握 行业 生态 个例 事故 涉事 油品 召回 封存 市场 概率 能量 博带 偏路 煤油 网络 谣言 沙壁,"[(1, 0.961549)]",1
2024-07-12,猪油 相关 制品 酵母 面包 蛋糕 油炸 食品 躲开,"[(0, 0.91588396), (1, 0.016918682), (2, 0.016714273), (3, 0.016709505), (4, 0.016965276), (5, 0.016808365)]",0
2024-07-12,实在 不行 猪油 猪肉 涨价,"[(0, 0.027979529), (1, 0.028021991), (2, 0.028136916), (3, 0.027825266), (4, 0.8596316), (5, 0.028404698)]",4
2024-07-11,物理学 角度看 水轻 新闻 上浮 茧房 新闻 下沉 茧房,"[(0, 0.01670286), (1, 0.016769007), (2, 0.016713232), (3, 0.91639674), (4, 0.01673458), (5, 0.016683595)]",3
2024-07-12,物理 天才,"[(0, 0.05570227), (1, 0.056807026), (2, 0.39147398), (3, 0.38461068), (4, 0.055703115), (5, 0.055702895)]",2
2024-07-12,老师,"[(0, 0.08356724), (1, 0.08335029), (2, 0.08340429), (3, 0.58240163), (4, 0.08362656), (5, 0.08365)]",3
2024-07-11,层级 空间 穿越 观念 信息 人格 透明 隔断 红薯 痘印 接收 输出 兼容,"[(0, 0.0119184395), (1, 0.0119198905), (2, 0.0119209), (3, 0.011923488), (4, 0.011939787), (5, 0.94037753)]",5
2024-07-12,士族,"[(0, 0.08355053), (1, 0.08355302), (2, 0.083551995), (3, 0.08355234), (4, 0.083551966), (5, 0.58224016)]",5
2024-07-12,种姓,"[(0, 0.08354), (1, 0.08354251), (2, 0.08354134), (3, 0.083541654), (4, 0.58229357), (5, 0.08354091)]",4
2024-07-12,折叠,"[(0, 0.08342639), (1, 0.083417006), (2, 0.08341652), (3, 0.08341668), (4, 0.08388421), (5, 0.5824392)]",5
2024-07-11,痘印,"[(0, 0.08336873), (1, 0.083369166), (2, 0.083368964), (3, 0.08359703), (4, 0.08336895), (5, 0.58292717)]",5
2024-07-11,确实 离谱,"[(0, 0.7203848), (1, 0.05559793), (2, 0.056456193), (3, 0.055783592), (4, 0.05574863), (5, 0.0560289)]",0
2024-07-11,地炼 猪油 菜籽油 花生油,"[(0, 0.03353793), (1, 0.8325431), (2, 0.033428248), (3, 0.03337216), (4, 0.0334894), (5, 0.033629183)]",1
2024-07-19,确实 汉奸 骗子 动物油 确实 植物油 适量,"[(0, 0.021038765), (1, 0.020910216), (2, 0.021206833), (3, 0.021038724), (4, 0.89462656), (5, 0.021178944)]",4
2024-07-11,不用 板油 好像 涨价,"[(0, 0.033449803), (1, 0.033383712), (2, 0.033538636), (3, 0.033379108), (4, 0.033448543), (5, 0.83280015)]",5
2024-07-11,博主 分享 猪油 橄榄油 势力,"[(0, 0.027870065), (1, 0.028123006), (2, 0.0278787), (3, 0.027853979), (4, 0.8603662), (5, 0.027907996)]",4
2024-07-11,信息 茧房 双向 跟踪 下沉 群体 舆论 议题 发现 议题 破圈 精英 视野 精英 议题 认知 群聊 转发 截图 排泄 奇葩 看法 见解 充满 脱离 大众 傲慢 偏见,"[(2, 0.9710207)]",2
2024-07-11,宏观 选择 透明 欺骗性 诱导性 自主 选择 透明 层级 空间 穿越 观念 信息 人格 透明 隔断 红薯 痘印 接收 输出 兼容,"[(5, 0.962021)]",5
2024-07-11,受过 职位,"[(0, 0.056608047), (1, 0.055690393), (2, 0.056078035), (3, 0.056099337), (4, 0.055689774), (5, 0.71983445)]",5
2024-07-11,关心 食品 健康 红心,"[(0, 0.033591844), (1, 0.033553243), (2, 0.033450797), (3, 0.033529364), (4, 0.8324083), (5, 0.033466473)]",4
2024-07-12,误伤 恶化 外资 撤离 警告,"[(0, 0.027939145), (1, 0.8601366), (2, 0.02784948), (3, 0.027822625), (4, 0.028259851), (5, 0.027992295)]",1
2024-07-12,混合油 搜么,"[(0, 0.05576568), (1, 0.057014264), (2, 0.055648446), (3, 0.055648595), (4, 0.05564846), (5, 0.7202745)]",5
2024-07-11,赞同,"[(0, 0.08336702), (1, 0.5829525), (2, 0.083367236), (3, 0.0833673), (4, 0.08357878), (5, 0.0833672)]",1
2024-07-11,关心 关心,"[(0, 0.05581518), (1, 0.05578783), (2, 0.0555952), (3, 0.72081137), (4, 0.056276374), (5, 0.05571403)]",3
2024-07-11,强度 引导,"[(0, 0.056215677), (1, 0.056023814), (2, 0.42531368), (3, 0.055612803), (4, 0.3509911), (5, 0.05584292)]",2
2024-07-11,国际 信息 茧房 制度 信用 错话 做错事 老奶奶 马路 脏话 了扣,"[(0, 0.013916456), (1, 0.013987438), (2, 0.9300407), (3, 0.014024432), (4, 0.014045233), (5, 0.013985687)]",2
2024-07-28,信用 事情 疫情 提出 绿码 挂钩 信用 献血 志愿者 打架 扣分 没了 提出,"[(0, 0.011934234), (1, 0.011964519), (2, 0.011960907), (3, 0.9402482), (4, 0.011937543), (5, 0.011954628)]",3
2024-07-19,老师 评论 老师 资深 粉丝,"[(0, 0.027865198), (1, 0.027875416), (2, 0.02804793), (3, 0.7205648), (4, 0.027887475), (5, 0.16775918)]",3
2024-07-18,荒唐事 疫情 核酸 小区 密接 健康 黄码 出行 居家 隔离 外国人 魔幻,"[(0, 0.012948332), (1, 0.93519855), (2, 0.012853416), (3, 0.013090505), (4, 0.012917232), (5, 0.012991948)]",1
