时间,博主,内容,点赞,转发,评论,分词
"
                        2022年07月05日 20:50
                        ",天生的体制人之好运降临,"
 你他妈出来挨打行不行 ",赞, , 评论,挨打 行不行
"
                        2022年07月05日 20:49
                        ",丢失一只红色小狗,"
 人家的钟薛高长时间不化 我的钟薛高怎么冻都是化掉的状态 ​ ",赞, , 2,钟薛高 长时间 不化 钟薛高 化掉 状态
"
                        2022年07月05日 20:49
                        ",-Luckyyyyyyy-,"
 钟薛高是我吃过最难吃的雪糕我指所有口味都不能接受吃一口能齁4⃣️我 ",2, , 评论,钟薛高 难吃 雪糕 口味 接受 一口
"
                        2022年07月05日 20:47
                        ",边缘太空人,"
 钟薛高 滚出拆那 跟哄抬物价的有什么区别 ​ ",5, , 评论,钟薛高 滚出 哄抬物价 区别
"
                        2022年07月05日 20:46
                        ",我有在期待夏天哦,"
 “自认高档就把自己和哈根达斯一样放到高级柜台去，藏在那小破冰柜里偷袭谁呢” 用塑料做雪糕，包装抄袭，高管辱女，带动雪糕溢价…钟薛高给我倒闭 ​ ",4, , 2,自认 高档 哈根达斯 放到 高级 柜台 冰柜 偷袭 塑料 雪糕 包装 抄袭 管辱 带动 雪糕 溢价 钟薛高 倒闭
"
                        2022年07月05日 20:46
                        ",新京报食物链,"
 【 丨雪糕放置1小时不化？我们在室温下做了个实验】“ ”话题日前上热搜，网友质疑其添加剂太多，不敢食用。钟薛高则回应称并不存在不融化的雪糕，相关产品配方中的固形物含量在40%左右，融化后不会完全散开。 真相究竟如何？是否如一些网友所认为的“雪糕添加 ​ ",赞, , 评论,雪糕 放置 1小时 不化 室温 实验 话题 日前 上热 网友 质疑 添加剂 食用 钟薛高 回应 融化 雪糕 相关 产品 配方 固形物 含量 融化 散开 真相 网友 雪糕 添加
"
                        2022年07月05日 20:45
                        ",是奶茶味儿的,"
 钟薛高给我退！气死我了 ",赞, , 评论,钟薛高 气死我了
"
                        2022年07月05日 20:43
                        ",股市狮子王,"
 财经> 股市> 快讯 202年07月05日20:32【近五年我国数字经济发展动能加速释放】“从2017年到2021年，我国数字经济规模从27万亿元增长到超45万亿元，稳居世界第二。数字经济在整个中的比重提升至39%。”国家互联网信息办公室副主任曹淑敏5日在第五届数字中国建设峰会新闻发布会上表示，党的十九大 ​ ",赞, , 评论,财经 股市 快讯 五年 我国 数字 经济 发展 动能 加速 释放 我国 数字 经济 规模 万亿元 增长 万亿元 稳居 世界 数字 经济 比重 提升 国家 互联网 信息 办公室 主任 曹淑敏 第五届 数字 中国 建设 峰会 新闻 发布会 十九
"
                        2022年07月05日 20:43
                        ",文岛牧弓,"
 / :茅台已经。茅台当然是智商税，但红酒威士忌就不是吗？钟薛高当然是智商税，哈根达斯就不是吗？ / : 茅台也会 ",1, , 评论,茅台 茅台 智商 红酒 威士忌 钟薛高 智商 哈根达斯 茅台
"
                        2022年07月05日 20:43
                        ",pokeweed-,"
 家人想把最好的给你，所以钟薛高怎么这么恶心/ :这么贵么/ : 晕过去 年轻人都舍不得买/ : 老人家觉得贵的就是最好的 但是有的东西根本配不上标价 我沙👊/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,家人 钟薛高 恶心 贵么 晕过去 年轻人 舍不得 老人家 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 20:41
                        ",霜桑叶十五个和川楝子五味子水煎,"
 钟薛高早点倒闭吧，和抢有什么区别。坑老人家/ :看不得老人被坑/ :真的生气了，好气/ :能不能倒闭啊/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 早点 倒闭 抢有 区别 老人家 看不得 老人 真的 生气 好气 倒闭 爱人 病重 看着 难受
"
                        2022年07月05日 20:41
                        ",-环游宇宙的twenty-,"
 …钟薛高只能忽悠觉得贵的就是好的老一辈人了吧 真以为雪糕刺客是夸他呢服了 ",赞, , 评论,钟薛高 只能 忽悠 老一辈 雪糕 刺客
"
                        2022年07月05日 20:39
                        ",Tai海斌,"
 雪糕刺客 ​ ",1, , 1,雪糕 刺客
"
                        2022年07月05日 20:38
                        ",标枝野鹿zz,"
 早就说了钟薛高这个逼品牌必须脚刹 ​ ",赞, , 评论,早就 钟薛高 品牌 脚刹
"
                        2022年07月05日 20:37
                        ",还未有为,"
 学校：请大家吃网红雪糕！ 我想：是雪莲还是钟薛高呢？ 哦！是钟薛高！ ​ ",1, , 4,学校 雪糕 雪莲 钟薛高 钟薛高
"
                        2022年07月05日 20:35
                        ",今天就要当富婆嗷,"
 钟薛高给爷爬！ ",1, , 评论,钟薛高
"
                        2022年07月05日 20:33
                        ",猫来回在黑白键,"
 唉.因为好奇所以买过一支巧克力味钟薛高尝鲜，咬了一口沉默着递给我妈，我妈咬了一口沉默着递回来.哈根达斯贵但它至少好吃，钟薛高又难吃又腻凭什么卖这么贵😅 ",赞, , 评论,好奇 一支 巧克力 钟薛高 尝鲜 咬了一口 沉默 递给 咬了一口 沉默 递回来 哈根达斯 至少 好吃 钟薛高 难吃
"
                        2022年07月05日 20:32
                        ",青羽Vic,"
 雪糕刺客-钟薛高拟人 看是谁结账的时候手足无措 ​ ",382, , 13,雪糕 刺客 钟薛高 拟人 结账 手足无措
"
                        2022年07月05日 20:32
                        ",被风吹过的夏天·最难忘,"
 滚出市场 好难过 价格配不上质量 ",6, , 评论,滚出 市场 难过 价格 配不上 质量
"
                        2022年07月05日 20:31
                        ",开心市民小张睡眠艺术家,"
 “自认高档就把自己和哈根达斯一样放到高级柜台去，藏在那小破冰柜里偷袭谁呢” ​ ",17, , 1,自认 高档 哈根达斯 放到 高级 柜台 冰柜 偷袭
"
                        2022年07月05日 20:31
                        ",米拉是小强呢,"
 这辈子都不会吃的/ :我也有点了，真烦/ :我现在已经到听到“钟薛高”这几个字就已经生理不适了/ :我真的很生气 ",赞, , 评论,这辈子 真烦 听到 钟薛高 几个 生理 不适 真的 生气
"
                        2022年07月05日 20:30
                        ",桉七禾,"
 避开了钟薛高 但我不理解雪糍现在那么贵了吗 ​ ",赞, , 评论,避开 钟薛高 理解
"
                        2022年07月05日 20:30
                        ",一ke白兔糖tang,"
 真不是我饿的想吐，也不是吃多腻的想吐 好惨一女的，钟薛高吃到肠胃炎 我想哈冰粉 剋冰汤圆 ​ ",2, , 评论,想吐 多腻 想吐 好惨 一女 钟薛高 肠胃炎 哈冰粉 汤圆
"
                        2022年07月05日 20:30
                        ",萌宠萌动,"
 这么贵的雪糕，大家觉得好吃吗？ ​ ",赞, , 1,雪糕 好吃
"
                        2022年07月05日 20:29
                        ",易mo灵,"
 不就是冻起来的高乐高吗 ​ ",赞, , 1,高乐高
"
                        2022年07月05日 20:27
                        ",魅力老攻,"
 钟薛高去死/ :好难受/ :到现在为止没吃过一支钟薛高/ :晕过去 年轻人都舍不得买/ : 老人家觉得贵的就是最好的 但是有的东西根本配不上标价 我沙👊/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 难受 没吃过 一支 钟薛高 晕过去 年轻人 舍不得 老人家 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 20:27
                        ",风遥_,"
 钟薛高，你何德何能，你的价值配不上人间纯粹的情感/ :到现在为止没吃过一支钟薛高/:晕过去 年轻人都舍不得买/ : 老人家觉得贵的就是最好的 但是有的东西根本配不上标价 我沙👊:…有点难受:爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 何德何能 价值 配不上 人间 情感 没吃过 一支 钟薛高 晕过去 年轻人 舍不得 老人家 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 20:23
                        ",桉桉桉桉白,"
 问题不是贵是价不配位 所以就超级讨厌/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,配位 超级 讨厌 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 20:23
                        ",拖着落日去起舞,"
 能不能倒闭 / :钟薛高这种垃圾冰淇淋为什么没有人治理？！我不懂/ :昨天也看到一个 心酸 / :晕 年轻人都舍不得买/ :有的东西根本配不上标价/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,倒闭 钟薛高 垃圾 冰淇淋 治理 昨天 心酸 年轻人 舍不得 东西 配不上 标价 爱人 病重
"
                        2022年07月05日 20:22
                        ",木子嘉恒不爱夏,"
 我爸延迟看消息我真的服了 他今天买的钟薛高 一百六的高价 我刚下楼扔了十二根还是十三根钟薛高全部扔掉了 人家吃冰可能小鹿乱撞我看着这个钟薛高我火冒三丈 扔之前我全部拆封了顺便拿打火机试了一下 试了三四个打火机都坏掉了😅 钟薛高还很坚固 我的心在 ​ ",5, , 3,延迟 消息 真的 钟薛高 一百 高价 下楼 十二 十三根 钟薛高 扔掉 小鹿 乱撞 看着 钟薛高 火冒三丈 拆封 顺便 打火机 三四个 打火机 坏掉 钟薛高 坚固
"
                        2022年07月05日 20:20
                        ",Yellow媚妹2米6,"
 😢/ :钟薛高这种垃圾冰淇淋为什么没有人治理？！我不懂/ :昨天也看到一个 心酸 / :晕 年轻人都舍不得买/ :有的东西根本配不上标价/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 垃圾 冰淇淋 治理 昨天 心酸 年轻人 舍不得 东西 配不上 标价 爱人 病重
"
                        2022年07月05日 20:20
                        ",_xxsimkoongxx,"
 / :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高 ",2, , 评论,生病 吃凉 配位 钟薛高
"
                        2022年07月05日 20:19
                        ",月初就没钱了,"
 能不能倒闭啊 ​ ",7, , 2,倒闭
"
                        2022年07月05日 20:19
                        ",财经无忌,"
 发布了头条文章：《化不掉的钟薛高，逃不出网红产品的生命周期》 ​ ",赞, , 评论,发布 头条 文章 不掉 钟薛高 逃不出 网红 产品 生命周期
"
                        2022年07月05日 20:16
                        ",夜nyx神_2023拨云见日破风展翅,"
 有阵子抖音美食博主疯狂宣传钟薛高，于是我也在天猫上买了几根尝，好巧不巧那会好像正好端午节，买的钟薛高其中一个好像是粽子为原型里面有糯米的？ 当时吃的满头问号，也不好啃也不好吃。最近钟薛高又被讨论了，去楼下小卖店买冰棍儿就心情复杂，是真的只想买苦咖啡、橘子汽水冰棒红豆沙绿豆沙 ​ ",赞, , 3,阵子 美食 博主 疯狂 宣传 钟薛高 天猫 几根 好巧 好像 正好 端午节 钟薛高 好像 粽子 原型 糯米 满头 问号 不好 好吃 钟薛高 讨论 楼下 冰棍儿 心情 真的 想买 咖啡 橘子 汽水 冰棒 豆沙 绿豆沙
"
                        2022年07月05日 20:14
                        ",爱是共携手,"
 钟薛高为什么这么贵，物不配价，该查了吧 ​ ",1, , 评论,钟薛高 不配
"
                        2022年07月05日 20:14
                        ",恒君Dawson,"
 今天跑到 故意让（雪糕刺客）刺了一下，钟薛高这个新口味奶沁缇子还不错，第三次买钟薛高，确实贵，另外如网友所说放半小时融化的不太厉害 ​ ",1, , 评论,雪糕 刺客 钟薛高 口味 不错 第三次 钟薛高 确实 网友 所说 半小时 融化 厉害
"
                        2022年07月05日 20:10
                        ",eeeealetta,"
 / :钟薛高这种垃圾冰淇淋为什么没有人治理？！我不懂/ :昨天也看到一个 心酸 / :晕 年轻人都舍不得买/ :有的东西根本配不上标价/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 垃圾 冰淇淋 治理 昨天 心酸 年轻人 舍不得 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 20:09
                        ",毕之-罗之,"
 又难过又生气，给自己积点德吧？ ",赞, , 评论,难过 生气 积点
"
                        2022年07月05日 20:05
                        ",Morino-Kuma,"
 钟薛高还可以啊，不算贵也好吃/ :骗老人钱缺德/ :晕过去 年轻人都舍不得买/ : 老人家觉得贵的就是最好的 但是有的东西根本配不上标价 我沙👊/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",1, , 2,钟薛高 不算 好吃 老人 缺德 晕过去 年轻人 舍不得 老人家 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 20:05
                        ",墨镜呆萌的小蘑菇,"
 钟薛高！退！ ",赞, , 评论,钟薛高
"
                        2022年07月05日 20:01
                        ",土拨鼠尖叫鸡翅包饭团,"
 我的心愿是钟薛高破产倒闭 ",赞, , 评论,心愿 钟薛高 破产倒闭
"
                        2022年07月05日 20:01
                        ",繁夏行秋,"
 钟薛高凭什么卖那么贵，什么时候从雪糕市场上消失！ ",赞, , 评论,钟薛高 雪糕 市场 消失
"
                        2022年07月05日 20:01
                        ",刻薄叁叁,"
 钟薛高到底凭什么卖这么贵啊…物价局呢…一百八…赶上宫廷玉液酒了/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",1, , 评论,钟薛高 物价局 一百八 赶上 宫廷 玉液 爱人 病重 看着 难受
"
                        2022年07月05日 20:00
                        ",亲自为NM穿上复活甲,"
 不考虑发他个律师函告他造谣吗？ ",1, , 评论,他个 律师函 造谣
"
                        2022年07月05日 19:58
                        ",不想吃胶囊了,"
 我是中国人，我支持钟薛高倒闭 ​ ",赞, , 评论,中国 支持 钟薛高 倒闭
"
                        2022年07月05日 19:58
                        ",Bettykkiya,"
 钟薛高 你凭什么！/ :昨天也看到一个 心酸 / :晕 年轻人都舍不得买/ :有的东西根本配不上标价/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 昨天 心酸 年轻人 舍不得 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 19:57
                        ",小冯睡不着my,"
 ？那我不吃了 一直都觉得海盐椰不太好吃 ​ ",1, , 评论,不吃 海盐 不太好
"
                        2022年07月05日 19:56
                        ",拾遗于困,"
 是不是别人不发火就把人当傻子啊 钟薛高👊 ",赞, , 评论,不发火 傻子 钟薛高
"
                        2022年07月05日 19:56
                        ",薄荷糖RDJ,"
 钟薛高根本不配这个价格/ :昨天也看到一个 心酸 / :晕 年轻人都舍不得买/ :有的东西根本配不上标价/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。 ",赞, , 评论,钟薛高 不配 价格 昨天 心酸 年轻人 舍不得 东西 配不上 标价 难受 爱人 病重
"
                        2022年07月05日 19:55
                        ",Bbbblue_a,"
 这雪糕刺客也没多好吃啊 ​ ",1, , 3,雪糕 刺客 好吃
"
                        2022年07月05日 19:55
                        ",识吧识吧,"
 一切奢侈品都是智商税 / :茅台已经。茅台当然是智商税，但红酒威士忌就不是吗？钟薛高当然是智商税，哈根达斯就不是吗？ / : 茅台也会 ",赞, , 评论,奢侈品 智商 茅台 茅台 智商 红酒 威士忌 钟薛高 智商 哈根达斯 茅台
"
                        2022年07月05日 19:55
                        ",黑羽新子x,"
 我之前从没骂过钟薛高，但看到这个我忍不住了， 你们就是该死 ",赞, , 评论,从没 钟薛高 忍不住 该死
"
                        2022年07月05日 19:54
                        ",Leona_澈,"
 钟薛高给我倒闭吧！😾 ",赞, , 评论,钟薛高 倒闭
"
                        2022年07月05日 19:54
                        ",TUOTUObabyyy,"
 妈的好生气啊，能不能退出市场啊艹/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,生气 退出 市场 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:53
                        ",小歪小歪笨笨酱,"
 钟薛高，退 / :破防了 之前看到有人说看到一个小男孩闹着要吃雪糕 爷带他去便利店 拿了根钟薛高 老人家说“这么贵啊”啊我真的会想哭 ",赞, , 评论,钟薛高 破防 有人 小男孩 雪糕 便利店 钟薛高 老人家 真的
"
                        2022年07月05日 19:53
                        ",Coisinitsuki,"
 钟薛高是真不配这个价格。 ",赞, , 评论,钟薛高 不配 价格
"
                        2022年07月05日 19:53
                        ",qhhywyns,"
 / :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:52
                        ",-不可以凶狗勾,"
 烦死了钟薛高给我爬/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,烦死 钟薛高 难受 爱人 病重 看着 难受
"
                        2022年07月05日 19:51
                        ",GoodNightLovelovelove,"
 / : 奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高 / : 钟薛高退 ",赞, , 评论,生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:51
                        ",宝妈乐趣厨房,"
 冰淇淋🍦 咱还是自己做靠谱 方子大集合 ",6, , 评论,冰淇淋 方子 集合
"
                        2022年07月05日 19:51
                        ",移动数据开着呢,"
 钟薛高 我倒要尝你到底好不好吃 ​ ",2, , 1,钟薛高 好不好
"
                        2022年07月05日 19:49
                        ",四分醋熏,"
 钟薛高不化究竟是因为胶还是啥，而且钟薛高怎么像有粉丝团似的，只要质疑它成分的微博下面都有人用一样的话术说：钟薛高蛋白质含量高所以不容易化 ​ ",14, , 13,钟薛高 不化 是因为 钟薛高 粉丝团 质疑 成分 微博 有人 钟薛高 蛋白质 含量
"
                        2022年07月05日 19:49
                        ",别跟小狗计较,"
 钟薛高被零食组壁垒好多次了吧 / :能不能倒闭啊/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 零食 壁垒 倒闭 爱人 病重 看着 难受
"
                        2022年07月05日 19:48
                        ",矢代07,"
 气死我了 钟薛高你到底高贵在哪里清高在哪里牛逼在哪里/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高 / :钟薛高退 ",赞, , 评论,气死我了 钟薛高 高贵 清高 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:47
                        ",流心奶黄玻啵冰,"
 钟薛高去死啊/ :真的生气了，好气/ :能不能倒闭啊/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 真的 生气 好气 倒闭 爱人 病重 看着 难受
"
                        2022年07月05日 19:47
                        ",-阿噗噗-,"
 钟薛高是什么金子做的吗 火都烧不化是防火材料做的吧 ",赞, , 评论,钟薛高 金子 不化 防火 材料
"
                        2022年07月05日 19:46
                        ",羊咩咩的卧蚕,"
 出来挨骂 ",赞, , 评论,挨骂
"
                        2022年07月05日 19:46
                        ",油光水亮的瑞喵,"
 钟薛高，梦龙，都是我很喜欢吃的冰糕 ​ ",1, , 1,钟薛高 梦龙 喜欢 冰糕
"
                        2022年07月05日 19:46
                        ",科技小辛,"
 前有31℃高温晒不化，后有打火机直接烧焦，钟薛高你还有多少我不知道的秘密 有人知道这是为啥么？雪糕为什么可以烧焦？ ​ ",1145, , 208,高温 不化 打火机 烧焦 钟薛高 秘密 有人 为啥 雪糕 烧焦
"
                        2022年07月05日 19:46
                        ",野野梦想家,"
 钟薛高为什么还不倒闭 ",赞, , 评论,钟薛高 倒闭
"
                        2022年07月05日 19:45
                        ",时代少年团-磕耀机,"
 钟薛高是傻呗 / :真的生气了，好气/ :能不能倒闭啊/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 真的 生气 好气 倒闭 爱人 病重 看着 难受
"
                        2022年07月05日 19:44
                        ",DomDziennyDomNocny,"
 雪糕刺客退/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,雪糕 刺客 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:43
                        ",感谢您不在室内吸烟largo,"
 是这样的。雪糕都要溢价了那我们还有什么能便宜入口的呢？现在不反抗下一代吃的就是钟薛高了。/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,雪糕 溢价 便宜 入口 反抗 下一代 钟薛高 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:43
                        ",餐饮测评,"
 今天，山东网友发布一段雪糕批发价视频，雪莲冰块批发价两毛九，巧克力雪糕一块八毛九，就连刺客钟薛高的价格都不痛了…为啥 到山东变实诚了？ ​ ",4, , 评论,山东 网友 发布 一段 雪糕 批发价 视频 雪莲 冰块 批发价 毛九 巧克力 雪糕 一块 八毛 刺客 钟薛高 价格 不痛 为啥 山东 实诚
"
                        2022年07月05日 19:37
                        ",Pastoral,"
 钟薛高 垃圾配料 给我爬 ",赞, , 评论,钟薛高 垃圾 配料
"
                        2022年07月05日 19:37
                        ",情绪目前稳定,"
 钟薛高给我退出雪糕市场[交税] ",赞, , 评论,钟薛高 退出 雪糕 市场 交税
"
                        2022年07月05日 19:36
                        ",我就叫哼哼,"
 真的好运爆棚！前几天说想要钟薛高盲盒山岚款的，结果就开到一个山岚的，今天又拆到了榫卯隐藏款！ ​ ",赞, , 3,真的 好运 爆棚 几天 想要 钟薛高 盲盒 山岚 开到 山岚 拆到 榫卯 隐藏
"
                        2022年07月05日 19:35
                        ",法斯是天使-,"
 钟薛高你有什么了不起啊/ :我好难受…/ :看到这个…/ :真的生气了，好气/ :能不能倒闭啊/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 了不起 难受 真的 生气 好气 倒闭 爱人 病重 看着 难受
"
                        2022年07月05日 19:35
                        ",倒贴是天赋零权,"
 提起钟薛高我最气的就是有些立富贵人设的朋友天爱楼微背着鸡毛丑踩着，去她家里连根钟薛高都不让吃 ​ ",3, , 评论,提起 钟薛高 最气 富贵 朋友 天爱楼 背着 鸡毛 家里 连根 钟薛高 不让
"
                        2022年07月05日 19:35
                        ",桃园里的小米兔,"
 每天两根，我重了！你说你对我负责吗？ ​ ",赞, , 1,两根 负责
"
                        2022年07月05日 19:35
                        ",XHAO_chu,"
 你好看 ",赞, , 评论,好看
"
                        2022年07月05日 19:35
                        ",舔酸奶盖的酷盖,"
 钟薛高倒闭就现在 ",赞, , 评论,钟薛高 倒闭
"
                        2022年07月05日 19:34
                        ",财经无忌君,"
 化不掉的钟薛高，逃不出网红产品的生命周期 ​ ",赞, , 评论,不掉 钟薛高 逃不出 网红 产品 生命周期
"
                        2022年07月05日 19:32
                        ",宇宙第一大饭桶-饥饿版,"
 唉，辛苦一辈子的钱，无语死了。到处是虚高的价格，是花高价推销劣质的产品，是无休无止的公关和营销…真的配吗？/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,辛苦 一辈子 无语 虚高 价格 高价 推销 劣质 产品 无休无止 公关 营销 真的 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:30
                        ",宝妈乐趣厨房,"
 要不… 咱还是自己做冰棍 ​ ",7, , 评论,冰棍
"
                        2022年07月05日 19:30
                        ",Aprilyeeeeesi,"
 …钟薛高这种靠营销和渠道赚钱的溢价雪糕能不能滚粗中国 ",赞, , 评论,钟薛高 营销 渠道 赚钱 溢价 雪糕 滚粗 中国
"
                        2022年07月05日 19:29
                        ",有猫娱乐,"
 钟薛高“雪糕刺客事件”始末 ​ ",3, , 2,钟薛高 雪糕 刺客 事件 始末
"
                        2022年07月05日 19:24
                        ",眼tothe儿tothe眯,"
 妈的…看不得这个…钟薛高去死啊👊/ : 我也刷到了 看到了心里挺难受 老人家省吃俭用的钱就这么被忽悠走了 ",赞, , 评论,看不得 钟薛高 刷到 难受 老人家 省吃俭用 忽悠
"
                        2022年07月05日 19:22
                        ",黄斌,"
 茅台已经。茅台当然是智商税，但红酒威士忌就不是吗？钟薛高当然是智商税，哈根达斯就不是吗？ / : 茅台也会 ",156, , 45,茅台 茅台 智商 红酒 威士忌 钟薛高 智商 哈根达斯 茅台
"
                        2022年07月05日 19:21
                        ",洛可梁先生,"
 哈根达斯和钟薛高，你选哪个？ ​ ",1, , 评论,哈根达斯 钟薛高
"
                        2022年07月05日 19:21
                        ",-哈利波特心,"
 看到钟薛高很难化的新闻，真的幸好我自己吃雪糕只吃小时候自己经常吃的，或者进口零食那种，也是小时候自己逛零食店逛到的，但没钱买的。从不过分追任何网红雪糕，包括喜茶出的包装雪糕，想吃两三年了，一直没去吃成。偶尔也听过吃过的朋友劝退，雪糕还是肯德基麦当劳或者小时候的味道最好吃最安全。 ​ ",1, , 评论,钟薛高 难化 新闻 真的 幸好 雪糕 小时候 进口 零食 那种 小时候 零食 逛到 没钱买 过分 网红 雪糕 包括 包装 雪糕 两三年 没去 吃成 朋友 劝退 雪糕 肯德基 麦当劳 小时候 味道 好吃
"
                        2022年07月05日 19:20
                        ",阿茶同学的日常,"
 钟薛高 果然不会变成水 ​ ",赞, , 评论,钟薛高
"
                        2022年07月05日 19:18
                        ",小褦强,"
 林盛是谁？/ :钟薛高不倒闭在座的都有责任 / :某种程度上说这绝对算得上当代华语地区营销之神了吧/ :我丢，原来是他/ :钟薛糕，老板杜国楹，一个靠坑80后发家的。背佳，848手机，小罐茶，人本。谁买他产品谁是傻子。 ",赞, , 评论,林盛 钟薛高 倒闭 在座 责任 某种程度 算得 当代 华语 地区 营销 老板 杜国楹 后发 手机 人本 产品 傻子
"
                        2022年07月05日 19:17
                        ",莫名其妙喝了一杯蘇打so,"
 死！钟薛高给我死！/ :…有点难受/ :爷只想给自己的爱人在病重的时候吃点最好的。/ :啊…这个看着好难受啊… ",赞, , 评论,钟薛高 难受 爱人 病重 看着 难受
"
                        2022年07月05日 19:15
                        ",yyzqltzgmzwxh,"
 这个真的 钟薛高怎么好意思卖这么贵/ :我也刷到了 看到了心里挺难受 老人家省吃俭用的钱就这么被忽悠走了 ",赞, , 评论,真的 钟薛高 好意思 刷到 难受 老人家 省吃俭用 忽悠
"
                        2022年07月05日 19:15
                        ",吃我括号泡,"
 乌鸡鲅鱼/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,乌鸡 鲅鱼 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:13
                        ",麻婆就说一句,"
 没错！钟薛糕就是价不配位/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",1, , 评论,没错 配位 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:12
                        ",脱氧小气球,"
 烦死了钟薛高 良心真的不痛吗 关键是你用的料也不行啊 什么垃圾 ",赞, , 评论,烦死 钟薛高 良心 真的 不痛 关键 不行 垃圾
"
                        2022年07月05日 19:10
                        ",对诗姥姥,"
 看的有点难过/ :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,难过 生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 19:06
                        ",1MOKAY耶,"
 确认过眼神了 钟薛高还是原味的好吃 ​ ",赞, , 评论,确认 眼神 钟薛高 原味 好吃
"
                        2022年07月05日 19:00
                        ",6633898856_133,"
 化不掉的钟薛高，逃不出网红产品的生命周期，点击链接查看更多-> ​ ",赞, , 评论,不掉 钟薛高 逃不出 网红 产品 生命周期 点击 链接 查看
