评论内容,fenci,主题概率,主题类型
挺好的  配套设施该有的都有  环境舒适  晚上不吵,配套 设施 环境 舒适,"[(0, 0.014286016), (1, 0.8142819), (2, 0.014286001), (3, 0.014285994), (4, 0.014285982), (5, 0.014285981), (6, 0.014286018), (7, 0.014285981), (8, 0.014285988), (9, 0.014285986), (10, 0.014285998), (11, 0.014286177), (12, 0.014286018), (13, 0.014285996)]",1
非常满意，组织式入住，方便安全！环境优美，出行快捷！,满意 组织 入住 环境优美 出行 快捷,"[(0, 0.010205223), (1, 0.46076646), (2, 0.010205219), (3, 0.01020527), (4, 0.41677043), (5, 0.010205227), (6, 0.010205414), (7, 0.010205283), (8, 0.010205287), (9, 0.01020527), (10, 0.010205222), (11, 0.01020522), (12, 0.01020524), (13, 0.010205255)]",1
房间非常舒服，干净卫生，服务周到，感觉很棒。,房间 舒服 干净 卫生 感觉 很棒,"[(0, 0.010204228), (1, 0.010204246), (2, 0.010204212), (3, 0.010204224), (4, 0.010204232), (5, 0.0102042025), (6, 0.010204197), (7, 0.010204227), (8, 0.010204223), (9, 0.010204228), (10, 0.010204228), (11, 0.010204335), (12, 0.010204253), (13, 0.867345)]",13
环境很好，地理位置优越，房间很大，很干净。,环境 地理位置 优越 房间 很大 干净,"[(0, 0.010204385), (1, 0.8673436), (2, 0.010204327), (3, 0.010204329), (4, 0.010204336), (5, 0.010204317), (6, 0.010204335), (7, 0.010204324), (8, 0.010204334), (9, 0.010204363), (10, 0.010204348), (11, 0.010204342), (12, 0.010204342), (13, 0.010204319)]",1
位置很好，对面就是冬瓜山好多靓妹不得了。,位置 对面 冬瓜 靓妹,"[(0, 0.8142768), (1, 0.01428638), (2, 0.014286401), (3, 0.014286403), (4, 0.014286388), (5, 0.0142863905), (6, 0.0142864175), (7, 0.014286389), (8, 0.014286399), (9, 0.014286398), (10, 0.014286418), (11, 0.014286384), (12, 0.014286396), (13, 0.014286405)]",0
房间住的很舒服，房主态度很好，住的很满意,房间 舒服 房主 态度 满意,"[(0, 0.0119055025), (1, 0.011905495), (2, 0.011905489), (3, 0.011905496), (4, 0.011905535), (5, 0.011905495), (6, 0.011905535), (7, 0.011905509), (8, 0.011905503), (9, 0.011905498), (10, 0.011905664), (11, 0.011905499), (12, 0.011905509), (13, 0.84522825)]",13
超级满意 每次都是住这里 卫生干净 附近离市区很近,满意 卫生 干净 市区,"[(0, 0.014286409), (1, 0.014286445), (2, 0.0142863905), (3, 0.0142863905), (4, 0.8142769), (5, 0.0142863365), (6, 0.014286319), (7, 0.014286383), (8, 0.014286393), (9, 0.0142863905), (10, 0.014286374), (11, 0.014286426), (12, 0.014286448), (13, 0.014286416)]",4
环境很好，卫生很干净，唾得很香，服务很好。,环境 卫生 干净,"[(0, 0.01785728), (1, 0.7678554), (2, 0.017857263), (3, 0.017857287), (4, 0.01785726), (5, 0.01785725), (6, 0.017857231), (7, 0.017857263), (8, 0.017857285), (9, 0.01785729), (10, 0.01785726), (11, 0.017857328), (12, 0.017857326), (13, 0.01785727)]",1
干净卫生～视野也不错～超出预期～服务也很周全～,干净 卫生 视野 不错 超出,"[(0, 0.011905714), (1, 0.011905729), (2, 0.011905663), (3, 0.011905687), (4, 0.011905653), (5, 0.011905766), (6, 0.011905637), (7, 0.011905677), (8, 0.011905741), (9, 0.01190572), (10, 0.0119057475), (11, 0.011905739), (12, 0.011905739), (13, 0.8452258)]",13
多次入住，服务一如既往的好，来长沙必住,入住,"[(0, 0.5357082), (1, 0.03571473), (2, 0.035714667), (3, 0.035714783), (4, 0.035714865), (5, 0.035714928), (6, 0.035714846), (7, 0.035714727), (8, 0.035714652), (9, 0.03571485), (10, 0.035714716), (11, 0.03571463), (12, 0.03571469), (13, 0.03571478)]",0
特别好，环境好，价格便宜，建议大家都来住,环境 价格便宜 建议,"[(0, 0.017858176), (1, 0.01785832), (2, 0.0178582), (3, 0.017858207), (4, 0.017858267), (5, 0.017858222), (6, 0.017858196), (7, 0.017858205), (8, 0.017858222), (9, 0.017858226), (10, 0.767843), (11, 0.01785827), (12, 0.017858252), (13, 0.0178582)]",10
干净整洁，服务热情，设施齐全，交通方便,干净 整洁 热情 设施 交通,"[(0, 0.011904909), (1, 0.011904979), (2, 0.0119049195), (3, 0.011904945), (4, 0.011904926), (5, 0.011904905), (6, 0.011904916), (7, 0.011904919), (8, 0.011904917), (9, 0.011904934), (10, 0.011904912), (11, 0.845236), (12, 0.01190493), (13, 0.011904938)]",11
设施：好好好好 卫生：好 环境：好 服务：好,设施 卫生 环境,"[(0, 0.017857285), (1, 0.76785517), (2, 0.017857306), (3, 0.017857285), (4, 0.017857265), (5, 0.017857274), (6, 0.017857257), (7, 0.017857278), (8, 0.017857296), (9, 0.017857289), (10, 0.017857267), (11, 0.017857376), (12, 0.017857354), (13, 0.017857289)]",1
房间干净卫生 入住方便 管家也很不错。,房间 干净 卫生 入住 管家 不错,"[(0, 0.010204233), (1, 0.010204221), (2, 0.010204217), (3, 0.01020424), (4, 0.010204217), (5, 0.010204225), (6, 0.010204229), (7, 0.01020424), (8, 0.010204221), (9, 0.010204242), (10, 0.010204216), (11, 0.010204255), (12, 0.867345), (13, 0.010204278)]",12
好，离步行街近，还可以河边散步,步行街 散步,"[(0, 0.023812128), (1, 0.023812227), (2, 0.023812093), (3, 0.02381216), (4, 0.02381198), (5, 0.023812091), (6, 0.6904429), (7, 0.02381209), (8, 0.023812145), (9, 0.023812046), (10, 0.023812063), (11, 0.02381198), (12, 0.023812078), (13, 0.023812022)]",6
环境非常好，老板人也不错，体验感很好👍,环境 老板 不错 体验,"[(0, 0.014285883), (1, 0.014285908), (2, 0.0142859), (3, 0.814283), (4, 0.014285861), (5, 0.014285935), (6, 0.014285928), (7, 0.014285932), (8, 0.014285944), (9, 0.014285943), (10, 0.014285911), (11, 0.014285952), (12, 0.014285918), (13, 0.01428599)]",3
房间设施很新，住宿体验很好！,房间 设施 住宿 体验,"[(0, 0.014285932), (1, 0.014285974), (2, 0.0142859835), (3, 0.014285954), (4, 0.014285922), (5, 0.014285927), (6, 0.014285947), (7, 0.0142859565), (8, 0.8142824), (9, 0.014285954), (10, 0.014285991), (11, 0.014286011), (12, 0.014285982), (13, 0.014285982)]",8
可以，视野开阔，隔音效果好。,视野 开阔 隔音 效果,"[(0, 0.014287033), (1, 0.014287071), (2, 0.014287061), (3, 0.014287051), (4, 0.014286997), (5, 0.014287238), (6, 0.014287036), (7, 0.014287058), (8, 0.01428716), (9, 0.014286997), (10, 0.81426805), (11, 0.0142870415), (12, 0.014287101), (13, 0.014287113)]",10
酒店在裕南街边上，晚上有好多好吃的,酒店 好吃,"[(0, 0.023809902), (1, 0.023809785), (2, 0.023809975), (3, 0.023809938), (4, 0.023809858), (5, 0.02380999), (6, 0.69047123), (7, 0.023810009), (8, 0.023809845), (9, 0.023809863), (10, 0.023809925), (11, 0.023809848), (12, 0.023809927), (13, 0.02380989)]",6
很满意 环境好 卫生干净整洁,满意 环境 卫生 干净 整洁,"[(0, 0.011905022), (1, 0.011905018), (2, 0.011904988), (3, 0.01190503), (4, 0.011905123), (5, 0.011904943), (6, 0.011904943), (7, 0.0119049745), (8, 0.011905001), (9, 0.011904986), (10, 0.01190503), (11, 0.8452349), (12, 0.011905018), (13, 0.011905064)]",11
环境不错，房间也很干净。。。,环境 不错 房间 干净,"[(0, 0.014285862), (1, 0.014285941), (2, 0.014285857), (3, 0.014285891), (4, 0.014285852), (5, 0.014285852), (6, 0.014285848), (7, 0.014285866), (8, 0.014285891), (9, 0.014285885), (10, 0.01428587), (11, 0.014285934), (12, 0.014285904), (13, 0.81428355)]",13
挺好的，环境卫生也挺干净的！,环境卫生 干净,"[(0, 0.02381007), (1, 0.69047004), (2, 0.023809973), (3, 0.023810042), (4, 0.023809988), (5, 0.023809943), (6, 0.023809945), (7, 0.023809968), (8, 0.023810003), (9, 0.023810033), (10, 0.02380998), (11, 0.02381002), (12, 0.023810005), (13, 0.02380998)]",1
干净卫生，体验感非常好！,干净 卫生 体验,"[(0, 0.017857403), (1, 0.017857416), (2, 0.017857382), (3, 0.017857423), (4, 0.017857369), (5, 0.017857397), (6, 0.017857395), (7, 0.017857434), (8, 0.017857464), (9, 0.017857512), (10, 0.017857445), (11, 0.017857412), (12, 0.76785344), (13, 0.017857455)]",12
设施新，卫生干净，交通便利,设施 卫生 干净 交通 便利,"[(0, 0.011904954), (1, 0.8452353), (2, 0.011904957), (3, 0.011904947), (4, 0.011904975), (5, 0.011904944), (6, 0.011904944), (7, 0.011904943), (8, 0.011904957), (9, 0.0119049605), (10, 0.011904947), (11, 0.011904995), (12, 0.011904981), (13, 0.011905221)]",1
总体很棒，客服很好,总体 很棒 客服,"[(0, 0.017857684), (1, 0.01785777), (2, 0.017857665), (3, 0.017857717), (4, 0.017857673), (5, 0.017857673), (6, 0.017857675), (7, 0.017857673), (8, 0.01785771), (9, 0.017857736), (10, 0.0178577), (11, 0.017857747), (12, 0.017857738), (13, 0.76784986)]",13
环境不错，设施齐全。,环境 不错 设施,"[(0, 0.017857244), (1, 0.017857322), (2, 0.017857281), (3, 0.017857283), (4, 0.01785724), (5, 0.01785727), (6, 0.017857274), (7, 0.017857276), (8, 0.017857281), (9, 0.017857274), (10, 0.017857246), (11, 0.76785535), (12, 0.017857298), (13, 0.017857334)]",11
十分满意，干净卫生,干净 卫生,"[(0, 0.023809751), (1, 0.69047356), (2, 0.023809701), (3, 0.023809744), (4, 0.023809709), (5, 0.023809658), (6, 0.023809636), (7, 0.023809701), (8, 0.023809737), (9, 0.023809753), (10, 0.023809703), (11, 0.023809789), (12, 0.023809813), (13, 0.023809724)]",1
装修很好！很舒适！,装修 舒适,"[(0, 0.023810122), (1, 0.69047034), (2, 0.02381002), (3, 0.023809996), (4, 0.023809964), (5, 0.023809923), (6, 0.023809912), (7, 0.023809996), (8, 0.02380999), (9, 0.02380989), (10, 0.02381001), (11, 0.02380999), (12, 0.023809945), (13, 0.023809928)]",1
服务很好，值得入住,值得 入住,"[(0, 0.023809992), (1, 0.023810029), (2, 0.023809912), (3, 0.6904704), (4, 0.023809955), (5, 0.023810022), (6, 0.023809962), (7, 0.023809934), (8, 0.023809949), (9, 0.023810022), (10, 0.023809968), (11, 0.023809915), (12, 0.02380994), (13, 0.023809968)]",3
卫生环境都很不错,卫生 环境 不错,"[(0, 0.017857278), (1, 0.017857337), (2, 0.01785728), (3, 0.017857295), (4, 0.017857246), (5, 0.017857274), (6, 0.017857263), (7, 0.017857285), (8, 0.017857298), (9, 0.017857287), (10, 0.017857255), (11, 0.7678552), (12, 0.01785733), (13, 0.017857336)]",11
干净，服务及时。,干净,"[(0, 0.035714664), (1, 0.03571488), (2, 0.035714585), (3, 0.035714794), (4, 0.0357147), (5, 0.035714515), (6, 0.035714522), (7, 0.035714623), (8, 0.03571469), (9, 0.5357092), (10, 0.03571467), (11, 0.035714764), (12, 0.035714734), (13, 0.035714667)]",9
挺好的.推荐,推荐,"[(0, 0.035714783), (1, 0.035714507), (2, 0.035714697), (3, 0.03571465), (4, 0.035714623), (5, 0.035714533), (6, 0.03571449), (7, 0.035714645), (8, 0.5357099), (9, 0.03571464), (10, 0.035714615), (11, 0.035714563), (12, 0.035714723), (13, 0.035714597)]",8
房间卫生干净,房间 卫生 干净,"[(0, 0.017857343), (1, 0.017857645), (2, 0.017857296), (3, 0.017857322), (4, 0.017857308), (5, 0.017857255), (6, 0.017857257), (7, 0.017857298), (8, 0.017857336), (9, 0.017857322), (10, 0.017857334), (11, 0.76785463), (12, 0.017857367), (13, 0.017857324)]",11
房间非常棒,房间,"[(0, 0.035714697), (1, 0.035714556), (2, 0.035714578), (3, 0.035714567), (4, 0.0357146), (5, 0.03571448), (6, 0.035714556), (7, 0.035714578), (8, 0.03571502), (9, 0.03571453), (10, 0.53570986), (11, 0.03571466), (12, 0.035714664), (13, 0.035714664)]",10
暑假带孩子来长沙玩，做了好久攻略，搜了好多酒店，最后选择了这间湘江边的民宿酒店，是在高级写字楼里，安静，安全，房间干净舒适，漂亮，能看到江景，位置在江边，对面有网红冬瓜山小吃街，晚上吃饱散散步，很舒服！工作人员黄小姐人很好，提前联系，知道我们人多，安排大的房间，主动帮我们解决问题，感激！下次来还选择这里，也会推荐给朋友！ 设施：齐全，还有洗衣机，赞 卫生：干净整洁舒适 环境：漂亮温馨 服务：很好，从订房到客房阿姨和退房都满意,孩子 攻略 酒店 选择 民宿 酒店 写字楼 房间 干净 舒适 漂亮 江景 位置 对面 冬瓜 小吃街 吃饱 散散步 舒服 工作人员 提前 安排 房间 解决问题 感激 选择 推荐 朋友 设施 洗衣机 卫生 干净 整洁 舒适 环境 漂亮 订房 客房 退房 满意,"[(0, 0.096398205), (3, 0.8826943)]",3
房间整洁干净，因全家出动各方面都符合我们的要求，有洗衣机有地方晾衫很方便，窗外可以近距离欣赏橘子洲湘江景观，喜欢安静的可以选择这里，全程自助登记，适合年轻一族！好评！,房间 整洁 干净 全家 出动 符合 洗衣机 地方 欣赏 景观 喜欢 选择 全程 自助 登记 适合 年轻 好评,"[(12, 0.951122)]",12
房间干净，装饰精美。位置离地铁不远，步行5-10分钟。,房间 干净 装饰 精美 位置 地铁 步行,"[(12, 0.88391715)]",12
房间非常整洁，很卫生，景色也很好看，设施也齐全，房东也特别贴心，我们不小心打碎了杯子也没要赔偿，还热情地送了伴手礼给我们，非常好的住宿体验,房间 整洁 卫生 景色 好看 设施 房东 贴心 小心 打碎 杯子 没要 赔偿 热情 伴手 住宿 体验,"[(8, 0.9484084)]",8
房间环境很不错，整体比较像小公寓的感觉，空调也很给力，马桶也有一次性垫，装修的看起来挺新的，酒店斜对面就是冬瓜山夜市，晚上去很方便楼下是天宝兄弟，离地铁站的距离也还好，比较方便。但是酒店窗帘遮光一般，太阳好的时候早上会透进来，别的都很满意，会考虑再来玩的,房间 环境 不错 整体 公寓 感觉 空调 马桶 装修 酒店 斜对面 冬瓜 夜市 兄弟 地铁站 距离 还好 酒店 窗帘 遮光 满意,"[(2, 0.95778954)]",2
店主很耐心，提前沟通好入住公寓式酒店。在东瓜街对面，楼下就是天宝兄弟，去五一广场也很方便，有停车场。房间干净，有沙发，滚桶洗衣机，据说今年5月营业，设施较新，房间里可以看湘江，晚上可下楼去对面的江边散步，看夜景的橘子洲头毛爷爷像。,店主 耐心 提前 沟通 入住 公寓式 酒店 对面 兄弟 停车场 房间 干净 洗衣机 营业 设施 房间 对面 散步 夜景 头毛 爷爷,"[(8, 0.9577887)]",8
服务：长沙行的第一家民宿体验感还不错 入住还是挺方便的登记添加微信拿密码就可以入住了，全屋智能声控开关等超方便 环境：地段挺好的 旁边就是大名鼎鼎的天宝兄弟 朝向江景景观不错,民宿 体验 不错 入住 登记 添加 微信 密码 入住 全屋 智能 声控 开关 环境 地段 兄弟 朝向 江景 景观 不错,"[(7, 0.9557767)]",7
设施：开在写字楼里的公寓型住宅（貌似这样解释哈）老板给电梯卡，装修风格现代切温馨，有厨房，洗衣机以及家该有的样子，两个1米的双人床适合带俩娃出门的家庭。 卫生：中规中矩 干净卫生 环境：周围吃喝不愁 小吃街在对面 超市在楼下，住宿停车给报销 服务：老板亲自车库接，临走电梯卡放鞋柜上 我不太了解长沙住宿价格，也许是热门旅游城市吧，个人觉得整体城市住宿价格偏高一丢丢！但开到这座城了 就住一晚吃吃小吃啦！但关于整体入住还算方便！,设施 写字楼 公寓 住宅 貌似 解释 老板 电梯 装修 风格 厨房 洗衣机 样子 适合 出门 家庭 卫生 干净 卫生 环境 吃喝 小吃街 对面 超市 住宿 停车 报销 老板 车库 临走 电梯 鞋柜 住宿 价格 热门 整体 住宿 价格 开到 小吃 整体 入住,"[(2, 0.97840315)]",2
房间干净，老板人也特别好，晚上睡觉也很安静，周边环境很舒适，离想去的地方也都很近，交通也很便利，很推荐哦～,房间 干净 老板 睡觉 舒适 想去 地方 交通 便利 推荐,"[(12, 0.9155795)]",12
整体来说比较干净卫生，还有免费洗衣服务，累的时候待在酒店看书，发呆，喝个下午茶也不错。还可以泡澡看江景。,整体 干净 卫生 洗衣 酒店 看书 发呆 下午茶 不错 泡澡 江景,"[(2, 0.92261225)]",2
房间:干净整洁有情调 服务:管家小哥热心和善 出行:方便，到五一广场打车也很近。挨着江边 美食:楼下就是天宝兄弟 对宠物超级友好，只需交付五十元清洁费即可。,房间 干净 整洁 情调 管家 小哥 热心 出行 打车 美食 兄弟 宠物 友好 交付 清洁费,"[(3, 0.38569525), (7, 0.5607256)]",7
在网上无意间发现的宠物友好酒店，抱着试试看的心态订下来，一进到房间就特别舒服。值得一提的是，他们真的有位宠物考虑，挨着大床旁边布置了超大的宠物垫。真的很不错！带宠物的主人们来长沙一定要冲冲冲！,发现 宠物 友好 酒店 试试看 心态 房间 舒服 宠物 大床 布置 超大 宠物 不错 宠物 要冲,"[(11, 0.94537306)]",11
房间干净整洁，设备齐全，很安静，住着很舒服，还能一眼看到湘江，推荐，而且房东管家不会打扰休息，迟点退房也没有关系的，哈哈。,房间 干净 整洁 舒服 推荐 房东 管家 打扰 休息 退房 关系,"[(4, 0.92261475)]",4
出差首选这家民宿，经济实惠，主要是地理位置好去哪里都很方便，房间配套齐全且干净。办理入住简单便捷，下次还会再选这家入住。,出差 首选 民宿 经济 地理位置 房间 配套 干净 办理 入住 简单 便捷 再选 入住,"[(6, 0.93809205)]",6
性价比高，房间很新很干净，尤其是酒店小哥哥非常热情，必须点赞 周边环境很不错，天宝兄弟就在楼下，对面就是东瓜山夜市，打卡了萌重烤串，酒店后面湘江边散步＂打卡了杜甫江阁，交通也是相当便利有地铁3号线，下次过来还会首选这家酒店的。,性价比 房间 干净 酒店 热情 不错 兄弟 对面 夜市 打卡 萌重 烤串 酒店 散步 打卡 交通 便利 地铁 号线 首选 酒店,"[(6, 0.95778984)]",6
朋友来长沙玩刚好订了这家民宿，环境卫生服务确实都很不错。然后位置也很好，楼下就是天宝兄弟，对面是冬瓜山夜市，根本就不怕饿着哈哈哈。离灵官渡地铁站也就几百米的距离，去南门口  五一 黄兴那边直接坐公交半个小时左右就可以到，去哪都很方便啊。极力推荐,朋友 民宿 环境卫生 确实 不错 位置 兄弟 对面 冬瓜 夜市 离灵 地铁站 距离 公交 小时,"[(0, 0.94196063)]",0
长沙你好，长沙再见，吃货特种兵之旅结束，希望下次有机会再来呦哈哈哈哈～！虽然过来有点晚了，感谢店家耐心解答！,再见 吃货 特种兵 结束 希望 机会 感谢 店家 耐心 解答,"[(7, 0.91556805)]",7
房间十分干净 应该是新修的 房间很宽敞 安保很好 在大厅有前台人员不会让人随便进去 安全是不用担心的 也可以看到江景 江景很美 交通也很方便 东西都一应俱全 比同价位的房间好太多 来长沙一定住这个酒店  非常推荐,房间 干净 房间 宽敞 大厅 前台 人员 不用 担心 江景 江景 交通 同价位 房间 酒店 推荐,"[(2, 0.94537437)]",2
房间设施齐全，环境不错，比较新，服务很好，走时东西忘带了，联系老板后，老板二话不说愿意帮我邮寄，周边美食景点也挺多的，这边离橘子洲头不远，去看了下毛爷爷的石像，总体来说，很不错的住宿点！,房间 设施 环境 不错 走时 忘带 老板 老板 邮寄 美食 景点 下毛 爷爷 石像 总体 不错 住宿,"[(3, 0.9484069)]",3
房间很漂亮很干净，气场很好，感觉特别舒适！而且特别方便，几步就到东瓜山夜市，离江边也特别近。下次去长沙还住这里,房间 很漂亮 干净 气场 感觉 舒适 夜市,"[(13, 0.8839205)]",13
设施齐全，交通便利 很舒适，下次还会来 周边很多吃的…………………………………………………………………-啊,设施 交通 便利 舒适,"[(0, 0.014286025), (1, 0.8142818), (2, 0.014286001), (3, 0.014285981), (4, 0.014286034), (5, 0.014285991), (6, 0.014285994), (7, 0.014285981), (8, 0.014285994), (9, 0.014285986), (10, 0.014285998), (11, 0.014286048), (12, 0.014286026), (13, 0.014286086)]",1
房间很大，很干净，特别是晚上的夜景，可以看到整个湘江和橘子洲，前台服务也特别到位，入住体验很愉快，以后来长沙还会订这家。,房间 很大 干净 夜景 前台 到位 入住 体验 愉快,"[(5, 0.43403175), (13, 0.48025024)]",13
民宿在湘江边汇景，地点相当优越。离文和友很近，到橘汁洲头也很近。楼下就是天宝兄弟。我们自驾来的，楼下负二层就是停车场。吃住行都很方便，下次来还来住。,民宿 边汇景 地点 优越 文和友 橘汁 兄弟 自驾 停车场 吃住行,"[(9, 0.91557664)]",9
酒店很新很干净，推窗就能看到江景，晚上关上窗就非常安静了！老板非常热情，第一晚到的比较晚了老板还免费帮我升级成带浴缸的房间，漂亮极了！,酒店 干净 推窗 江景 老板 热情 老板 浴缸 房间 漂亮,"[(3, 0.57359296), (12, 0.34847668)]",3
房间大，设施齐全，简直就是另外一个家一样，老板还让我们免费提前入住，免费延迟退房。江边上景色也不错。,房间 设施 老板 提前 入住 延迟 退房 景色 不错,"[(13, 0.9071374)]",13
我是在在携程上看到的，体验感不错，干净，舒适，性价比还很高，小姐姐服务也很贴心，还提供了路线图，和特色餐饮店，坐地铁出行也特别方便！推荐,携程 体验 不错 干净 舒适 性价比 贴心 提供 路线图 特色 餐饮店 出行 推荐,"[(5, 0.3211815), (6, 0.12669736), (13, 0.49599022)]",13
房间比较新，外卖可以送到大厅，上楼需要刷卡，比较安全，走到江边逛逛很近，旁边还有第一师范景点，但需要提前预约参观，晚上在房间可以看夜景，入住体验不错。,房间 外卖 送到 大厅 刷卡 逛逛 景点 提前 预约 参观 房间 夜景 入住 体验 不错,"[(8, 0.9419599)]",8
这次出差还是果断选择该家酒店，只因上次住过后体验感很高，这次依然首选遇见，酒店房间环境依然很赞，隔音也好，店里服务也是很到位。,出差 选择 酒店 体验 首选 遇见 酒店 房间 环境 隔音 店里 到位,"[(2, 0.9285669)]",2
房间能够看到橘子洲，夜景很好，楼下是要刷卡才能上楼，非常安全，距离五一广场很近骑共享电瓶车十分钟，所以晚上一点也不吵。房间还有洗衣机，空气净化器。,房间 夜景 刷卡 距离 共享 电瓶车 房间 洗衣机 空气 净化器,"[(11, 0.91557366)]",11
和朋友一起去玩，订了两间房，很不错。房间很干净，离江边近，附近有地铁站，到江边打卡或者去其他景点游玩都很方便,朋友 两间房 不错 房间 干净 地铁站 打卡 景点 游玩,"[(9, 0.90713865)]",9
房间空间很大，位置也很方便，过马路后就是一条小吃街，窗外正好能俯瞰湘江，如果橘子洲放烟花的话，是一个绝佳的观景地点,房间 空间 很大 位置 马路 小吃街 正好 俯瞰 烟花 观景 地点,"[(11, 0.9226075)]",11
服务很好，环境也很好，正对橘子洲和湘江，相当不错。 楼下网红夜市，有不少好吃好玩的地方，必须给大大的赞,环境 不错 网红 夜市 好吃 好玩 地方,"[(12, 0.88391703)]",12
从屋子里就能看到湘江了，楼下就是天宝兄弟从房间就可以线上排队，对面冬瓜山夜市比较有市井气息。地铁站也不远，出行很方便！非常！,屋子里 兄弟 房间 排队 对面 冬瓜 夜市 市井 气息 地铁站 出行,"[(8, 0.9226114)]",8
酒店在江边，去五一广场坡子街橘子洲头都很近。房间非常干净整洁，两张1米的床，非常适合2大2小。下次来还会选择这里。,酒店 坡子 房间 干净 整洁 选择,"[(0, 0.01020432), (1, 0.010204305), (2, 0.010204308), (3, 0.8673437), (4, 0.0102043), (5, 0.010204302), (6, 0.010204299), (7, 0.01020432), (8, 0.010204314), (9, 0.010204322), (10, 0.010204345), (11, 0.010204498), (12, 0.010204317), (13, 0.010204334)]",3
房间不错，干净整洁！ 管家也特别热情！ 下次来长沙继续预订！ 离各个景点都方便，无论打车还是地铁都很便捷！,房间 不错 干净 整洁 管家 热情 预订 景点 打车 地铁 便捷,"[(3, 0.9226154)]",3
设施：很好 卫生：很干净 环境：很好 服务：很到位,设施 卫生 干净 环境 到位,"[(0, 0.011904897), (1, 0.011904949), (2, 0.011904911), (3, 0.0119049), (4, 0.011904885), (5, 0.011904882), (6, 0.011904876), (7, 0.01190489), (8, 0.011904897), (9, 0.011904902), (10, 0.011904885), (11, 0.011904938), (12, 0.8452363), (13, 0.0119049)]",12
位置非常好，在湘江边上，19楼一线江景尽收眼底，尤其晚上特漂亮。离五一广场火宫殿都很近。房间很安静，睡的比较安稳。,位置 江景 漂亮 房间 安稳,"[(0, 0.011905355), (1, 0.011905267), (2, 0.01190527), (3, 0.011905288), (4, 0.01190523), (5, 0.43254027), (6, 0.011905299), (7, 0.011905281), (8, 0.4245963), (9, 0.011905281), (10, 0.011905336), (11, 0.011905274), (12, 0.0119053), (13, 0.0119052855)]",5
挺满意的，房间物品设施齐全摆放到位，服务很友好，入住很开心，江景也很漂亮，对面就是冬瓜山很多有名小吃，综合性价比很高，值得推荐。,满意 房间 物品 设施 摆放 到位 友好 入住 开心 江景 很漂亮 对面 冬瓜 有名 小吃 性价比 值得 推荐,"[(2, 0.9511242)]",2
住的第二次了，还是一如既往的干净舒适，老板人真的特别好,干净 舒适 老板,"[(0, 0.017857743), (1, 0.017857488), (2, 0.017857382), (3, 0.76785344), (4, 0.017857414), (5, 0.01785737), (6, 0.017857341), (7, 0.017857373), (8, 0.017857391), (9, 0.017857382), (10, 0.017857427), (11, 0.017857436), (12, 0.01785745), (13, 0.01785738)]",3
我住的是看江景，一进去就感觉很舒适，安静，隔音好，老板细心热情，好评，满分5分，比酒店好,江景 感觉 舒适 隔音 老板 细心 热情 好评 酒店,"[(5, 0.55364144), (12, 0.36064067)]",5
就在长沙很有名的天宝兄弟楼上，对面是冬瓜山小吃街，楼下还有瑞幸，吃东西很方便，江景也很美,有名 兄弟 对面 冬瓜 小吃街 江景 很美,"[(0, 0.88392097)]",0
服务热情周到，酒店性价比很高，硬件设施完善，非常满意的一次体验,酒店 性价比 硬件 设施 完善 满意 体验,"[(6, 0.88392246)]",6
风景不错 环境优美 交通位置便利 宝宝很喜欢 下次出来游玩还会选这一家 感谢酒店便利舒适 希望生意兴隆,风景 不错 环境优美 交通 位置 便利 喜欢 游玩 感谢 酒店 便利 舒适 希望,"[(4, 0.5238056), (13, 0.41496497)]",4
连续住了两晚了，几个优点：地理位置好，环境干净整洁，宠物友好，服务很贴心！,连续 优点 地理位置 环境 干净 整洁 宠物 友好 贴心,"[(11, 0.9071356)]",11
很好，很完美！老板人很好说话！,完美 老板 说话,"[(0, 0.017858556), (1, 0.017858487), (2, 0.017858569), (3, 0.017858865), (4, 0.7678388), (5, 0.01785861), (6, 0.01785848), (7, 0.017858496), (8, 0.017858522), (9, 0.017858535), (10, 0.017858494), (11, 0.01785855), (12, 0.017858502), (13, 0.017858539)]",4
酒店位置很好，设施设备优良，江景视野开阔，楼下冬瓜山小吃街更是绝了。,酒店 位置 设施 江景 视野 开阔 冬瓜 小吃街,"[(0, 0.24718827), (5, 0.65756863)]",5
房间很大，窗外就是湘江，交通也很方便。,房间 很大 交通,"[(0, 0.44938913), (1, 0.017857593), (2, 0.017857555), (3, 0.017857525), (4, 0.01785762), (5, 0.017857563), (6, 0.01785758), (7, 0.017857544), (8, 0.017857583), (9, 0.017857613), (10, 0.017857617), (11, 0.017857613), (12, 0.01785762), (13, 0.33631986)]",0
环境不错，可以看夜景，黄金地段的性价比特别高！,环境 不错 夜景 黄金地段 性价比,"[(0, 0.01190556), (1, 0.49707508), (2, 0.011905584), (3, 0.011905602), (4, 0.011905571), (5, 0.0119057065), (6, 0.011905646), (7, 0.011905584), (8, 0.011905594), (9, 0.011905612), (10, 0.011905567), (11, 0.011905626), (12, 0.01190562), (13, 0.36005765)]",1
卫生环境很不错，值得选择,卫生 环境 不错 值得 选择,"[(0, 0.011904937), (1, 0.011904996), (2, 0.011904947), (3, 0.011904996), (4, 0.011904916), (5, 0.011904941), (6, 0.011904927), (7, 0.011904952), (8, 0.011904975), (9, 0.011904966), (10, 0.011904944), (11, 0.8452355), (12, 0.011904977), (13, 0.011904977)]",11
