Pre-Theme,Theme,Sim,Theme,Next-Theme,Sim,Theme,Next-Theme,Sim
Q1 Topic 15,Q2 Topic 11,0.72,,,,Q3 Topic 11,Q4 Topic 9,0.74
Q1 Topic 15,Q2 Topic 12,0.6,,,,Q3 Topic 11,Q4 Topic 10,0.77
Q1 Topic 16,Q2 Topic 0,0.64,,,,Q3 Topic 11,Q4 Topic 11,0.87
Q1 Topic 16,Q2 Topic 1,0.6,,,,Q3 Topic 11,Q4 Topic 12,0.68
Q1 Topic 16,Q2 Topic 2,0.65,,,,Q3 Topic 11,Q4 Topic 13,0.68
Q1 Topic 16,Q2 Topic 4,0.72,,,,Q3 Topic 11,Q4 Topic 14,0.76
Q1 Topic 16,Q2 Topic 5,0.65,,,,Q3 Topic 11,Q4 Topic 15,0.78
Q1 Topic 16,Q2 Topic 6,0.75,,,,Q3 Topic 12,Q4 Topic 0,0.71
Q1 Topic 16,Q2 Topic 7,0.75,,,,Q3 Topic 12,Q4 Topic 1,0.54
Q1 Topic 16,Q2 Topic 8,0.64,,,,Q3 Topic 12,Q4 Topic 2,0.7
Q1 Topic 16,Q2 Topic 9,0.68,,,,Q3 Topic 12,Q4 Topic 4,0.78
Q1 Topic 16,Q2 Topic 10,0.74,,,,Q3 Topic 12,Q4 Topic 5,0.72
Q1 Topic 16,Q2 Topic 11,0.66,,,,Q3 Topic 12,Q4 Topic 6,0.84
Q1 Topic 16,Q2 Topic 12,0.67,,,,Q3 Topic 12,Q4 Topic 7,0.81
Q1 Topic 18,Q2 Topic 0,0.66,,,,Q3 Topic 12,Q4 Topic 8,0.7
Q1 Topic 18,Q2 Topic 1,0.52,,,,Q3 Topic 12,Q4 Topic 9,0.61
Q1 Topic 18,Q2 Topic 2,0.62,,,,Q3 Topic 12,Q4 Topic 10,0.78
